,count,mean,std,min,25%,50%,75%,max
repeat,50.0,25.5,14.577379737113251,1.0,13.25,25.5,37.75,50.0
accuracy,50.0,0.5420512820512821,0.07046118655637766,0.38461538461538464,0.48717948717948717,0.5384615384615384,0.5833333333333334,0.6923076923076923
balanced_accuracy,50.0,0.536989898989899,0.07199929830323341,0.3395021645021645,0.49202741702741704,0.5492784992784993,0.588961038961039,0.6723665223665224
macro_f1,50.0,0.5278750683049629,0.07255227930285603,0.3522125723738627,0.4744539064232159,0.5360269597987195,0.5784250089587526,0.6760045274476514
weighted_f1,50.0,0.5325155210063945,0.06827052728125453,0.3875951729549744,0.4790904994822595,0.5363757508918799,0.5716340402718932,0.6818742472392726
