Source_ID,Region,Main,Segment,Type,Status,Length_km,Width_km,Dip_raw,Mmax,Trace_version,Polygon_method_version,Base_r_km,Dip_deg_parsed,Dip_dir_parsed,Hproj_km,Updip_extent_km,Downdip_extent_km,Rule_mode,Dip_class,Area_km2,Overlap_pair_n,Overlap_area_sum_km2,Overlap_area_sum_frac_of_polygon,Trace_covered,Polygon_valid,Polygon_locked
BAN16,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 2,SS,No Update,42.0,20.0,90,6.9,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,495.1594,2,125.2367,0.2529,True,True,True
BAN17,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 3,SS,No Update,26.0,20.0,90,6.6,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,332.6133,2,92.9327,0.2794,True,True,True
BAN18,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 4,SS,No Update,32.0,20.0,90,6.7,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,391.189,2,76.0788,0.1945,True,True,True
BAN19,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 5,SS,No Update,47.0,20.0,90,6.9,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,540.3901,1,41.7063,0.0772,True,True,True
BAN20,Bali-NT-Banda-Maluku,Sumba Ridge Thrust,Sumba Ridge Thrust,R,No Update,186.0,20.0,45NW,7.7,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,NW,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,4210.5842,1,328.3297,0.078,True,True,True
BAN21,Bali-NT-Banda-Maluku,Savu Thrust,Savu Thrust,N,No Update,115.0,20.0,45SW,7.0,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,SW,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,2611.4337,0,0.0,0.0,True,True,True
BAN22,Bali-NT-Banda-Maluku,Savu Ridge Thrust,Savu Ridge Thrust,N,No Update,111.0,20.0,45NW,7.0,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,NW,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,2573.5471,1,1044.5249,0.4059,True,True,True
BAN23,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Nusa Tenggara Barat,R,No Update,219.0,20.0,45S,7.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,5260.2806,0,0.0,0.0,True,True,True
BAN24,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Nusa Tenggara Tengah,R,No Update,174.0,20.0,45S,7.7,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,3993.4065,0,0.0,0.0,True,True,True
BAN25,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Nusa Tenggara Timur,R,No Update,238.0,20.0,45S,7.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,5321.469,2,503.3778,0.0946,True,True,True
BAN26,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Wetar,R,No Update,218.0,20.0,45S,7.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,5126.3666,2,470.5193,0.0918,True,True,True
BAN27,Bali-NT-Banda-Maluku,Semau Fault,Semau South,SS,No Update,230.0,20.0,90,7.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,2338.9537,0,0.0,0.0,True,True,True
BAN28,Bali-NT-Banda-Maluku,Semau Fault,Semau North,SS,No Update,360.0,20.0,90,8.1,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,3632.579,2,138.7927,0.0382,True,True,True
BAN29,Bali-NT-Banda-Maluku,Kalatoa,Kalatoa,SS-RL,New,204.0,20.0,90,7.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,2221.3477,2,1045.4142,0.4706,True,True,True
BAN30,Bali-NT-Banda-Maluku,Timor FTB,Timor FTB South,R,No Update,256.0,20.0,45N,7.9,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,N,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,6283.2452,1,78.4062,0.0125,True,True,True
BAN31,Bali-NT-Banda-Maluku,Timor FTB,Timor FTB Central,R,No Update,349.0,20.0,45N,8.0,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,N,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,8653.8642,2,156.8085,0.0181,True,True,True
BAN32,Bali-NT-Banda-Maluku,Timor FTB,Timor FTB North,R,No Update,393.0,20.0,45N,8.0,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,N,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,9678.9837,2,134.4809,0.0139,True,True,True
BAN33,Bali-NT-Banda-Maluku,Tanimbar FTB,Tanimbar FTB North,R,Data Updated,189.0,20.0,,7.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,,,,5.0,5.0,INVALID_OR_MISSING_DIP_SYMMETRIC_R,INVALID_OR_MISSING,2075.5645,1,78.4083,0.0378,True,True,True
BAN34,Bali-NT-Banda-Maluku,Tanimbar FTB,Tanimbar FTB South,R,Data Updated,291.0,20.0,,8.0,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,,,,5.0,5.0,INVALID_OR_MISSING_DIP_SYMMETRIC_R,INVALID_OR_MISSING,3154.4311,1,78.4083,0.0249,True,True,True
BAN35,Bali-NT-Banda-Maluku,Leti Thrust,Leti Thrust,R,Data Updated,100.0,20.0,45N,7.3,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,N,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,2447.8202,1,258.7718,0.1057,True,True,True
BAN36,Bali-NT-Banda-Maluku,Tanimbar Fault,Tanimbar 1,SS,No Update,125.0,20.0,90,7.5,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1320.3328,1,313.8574,0.2377,True,True,True
BAN37,Bali-NT-Banda-Maluku,Tanimbar Fault,Tanimbar 2,SS,No Update,89.0,20.0,90,7.3,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,966.14,0,0.0,0.0,True,True,True
BAN38,Bali-NT-Banda-Maluku,Tanimbar Fault,Tanimbar 3,SS,No Update,110.0,20.0,90,7.4,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1172.641,0,0.0,0.0,True,True,True
BAN39,Bali-NT-Banda-Maluku,Tanimbar Fault,Tanimbar 4,SS,No Update,132.0,20.0,90,7.6,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1388.8992,1,56.0786,0.0404,True,True,True
BAN40,Bali-NT-Banda-Maluku,Tanimbar Fault,Tanimbar 5,SS,No Update,101.0,20.0,90,7.4,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1081.7304,0,0.0,0.0,True,True,True
BAN41,Bali-NT-Banda-Maluku,Banda Detachment,Banda South,N,New,376.0,30.0,10W,7.6,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,10.0,W,29.5442,5.0,34.5442,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,14984.2469,2,337.1781,0.0225,True,True,True
BAN42,Bali-NT-Banda-Maluku,Banda Detachment,Banda North,N,New,189.0,30.0,10W,7.3,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,10.0,W,29.5442,5.0,34.5442,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,7081.619,1,78.4063,0.0111,True,True,True
BAN43,Bali-NT-Banda-Maluku,Seram FTB,West Kai,R,Data Updated,250.0,30.0,45W,7.9,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,W,21.2132,5.0,26.2132,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,7966.1532,2,392.2681,0.0492,True,True,True
BAN44,Bali-NT-Banda-Maluku,Seram FTB,West Kumawa,R,Data Updated,102.0,30.0,45SW,7.3,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,SW,21.2132,5.0,26.2132,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,3134.1046,3,535.0049,0.1707,True,True,True
BAN45,Bali-NT-Banda-Maluku,Seram FTB,South Onin,R,Data Updated,75.0,20.0,45SW,7.2,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,SW,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,1900.5612,3,302.3069,0.1591,True,True,True
BAN46,Bali-NT-Banda-Maluku,Seram FTB,West Onin,R,Data Updated,152.0,20.0,45SW,7.4,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,SW,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,3745.7522,4,256.0493,0.0684,True,True,True
BAN47,Bali-NT-Banda-Maluku,Seram FTB,South Misool-2,R,Data Updated,79.0,20.0,45S,7.2,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,1975.2984,3,364.3056,0.1844,True,True,True
BAN48,Bali-NT-Banda-Maluku,Seram FTB,South Misool-1,R,Data Updated,215.0,20.0,45S,7.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,5330.69,4,762.4338,0.143,True,True,True
BAN49,Bali-NT-Banda-Maluku,Seram Strike Slip,East Gorom,SS,No Update,153.0,20.0,90,7.6,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1571.8127,2,523.6624,0.3332,True,True,True
BAN50,Bali-NT-Banda-Maluku,Seram Strike Slip,West Gorom,SS,No Update,35.0,20.0,90,6.7,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,428.1972,0,0.0,0.0,True,True,True
BAN51,Bali-NT-Banda-Maluku,Seram Strike Slip,East Bula,SS,No Update,51.0,20.0,90,7.0,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,587.335,1,94.3073,0.1606,True,True,True
BAN52,Bali-NT-Banda-Maluku,Seram Strike Slip,North Hote,SS,No Update,84.0,20.0,90,7.3,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,918.4774,3,278.2509,0.3029,True,True,True
