group,n_total,n_above_mc,b,sigma_b,b_boot,b_boot_sd,ci_lo,ci_hi,mean_mag,estimable
far field (>75 km),150,62,1.1901121332299218,0.13370165363123737,1.2415410899565613,0.19493002869054105,0.9262579895111722,1.7063437866625457,4.014918959967741,True
intermediate (25-75 km),2622,1293,1.2767726110997126,0.03176408326546523,1.3947461435419861,0.05066449470649842,1.3031779646479453,1.50104131927319,3.990150217922661,True
near field (<=25 km),717,404,0.9754325472505206,0.04922515400091054,0.9950749053769642,0.06440205743092708,0.8654767222011746,1.1152643623113867,4.095232715606436,True
