group_a,group_b,b_a,b_b,delta_b,dAIC,p,q_value,significant_fdr05
first-year post,later,1.2497091793150938,1.4068270246367192,-0.15711784532162532,0.47145113168971875,0.10691452817399265,0.16037179226098897,False
first-year post,main sequence,1.2497091793150938,1.1097794933155178,0.139929685999576,1.6605296641191671,0.05899722724314932,0.11799445448629864,False
first-year post,pre-sequence,1.2497091793150938,1.1535870479224493,0.09612213139264458,-1.382984083179963,0.27022293961515065,0.3242675275381808,False
later,main sequence,1.4068270246367192,1.1097794933155178,0.2970475313212013,11.396836017782334,0.00045354411840724864,0.002721264710443492,True
later,pre-sequence,1.4068270246367192,1.1535870479224493,0.2532399767142699,1.763065244145082,0.056048795352235045,0.11799445448629864,False
main sequence,pre-sequence,1.1097794933155178,1.1535870479224493,-0.04380755460693142,-1.8331504123013929,0.33843447029991675,0.33843447029991675,False
