group,n,lat,lon,dist_mainshock_km,R_g_km,R_g_ci_lo,R_g_ci_hi,major_km,minor_km,elongation,azimuth_deg,hull_area_km2,SD_R_km,median_date,frac_default_depth,b,sigma_b,n_above_mc
0,625,-8.242592000000002,116.243664,29.612481126812465,22.486524919065328,21.74580492177433,23.305899196956503,19.997620053363217,10.322273089990409,1.9373271641839305,70.20422076451504,4671.603881157584,10.054807241257558,2018-08-11,0.5456,0.989888724121225,0.03189597238302632,625
1,259,-8.665250965250966,116.2711583011583,40.065844834176666,29.447667411114324,27.432808238821842,31.71962854774807,26.483590969473322,13.005599963778634,2.0363221261019633,104.3833478921512,4803.6508344836275,14.228003094728063,2018-08-07,0.36293436293436293,1.7946669400848383,0.09852163894291034,259
2,698,-8.338452722063037,116.80687679083096,36.132036905724284,23.87048009151667,22.827875233574932,24.799606831316463,19.992479596197782,13.073564270059363,1.5292294574926202,97.2521019540455,6164.341865500138,11.735384809298537,2018-08-25,0.6590257879656161,1.0019617600231026,0.03139071724358824,698
