features,temporal_spread_days,null_mean_days,p_value,ari_bootstrap
ENZT (manuscript),159.53120896166402,30.886569844777345,0.0004997501249375312,0.7978061902364256
ENZ (no time),80.89587544565396,32.48964395774129,0.0009995002498750624,0.5937687462035705
EN (space only),34.91779951132389,32.03685185689727,0.3698150924537731,0.8368705269847674
