group_a,group_b,b_a,b_b,delta_b,dAIC,p,q_value,significant_fdr05
far field (>75 km),intermediate (25-75 km),1.1901121332299218,1.2767726110997126,-0.08666047786979081,-1.7013997620961163,0.3168584550208005,0.3168584550208005,False
far field (>75 km),near field (<=25 km),1.1901121332299218,0.9754325472505206,0.21467958597940118,0.025651127355558856,0.1336106155030797,0.20041592325461954,False
intermediate (25-75 km),near field (<=25 km),1.2767726110997126,0.9754325472505206,0.301340063849192,21.341198957144115,3.1421619414668685e-06,9.426485824400606e-06,True
