max_mw_excluded,n_near,b_near,n_inter,b_inter,delta_b,p
none,404,0.9754325472505206,1293,1.2767726110997126,-0.301340063849192,3.1421619414682975e-06
>= 6.0,400,1.0333975442695098,1293,1.2767726110997126,-0.24337506683020282,0.000308782172661507
>= 5.5,398,1.052049941610071,1290,1.2910381755977867,-0.23898823398771563,0.0005003338428469406
>= 5.0,386,1.1463433770302867,1282,1.3191788803674436,-0.17283550333715691,0.01834241876245902
