group_a,group_b,median_shift_days,mannwhitney_p,delta_b,utsu_p,q_time,q_b
0,1,-0.12252314814850251,0.0012443541925272492,-0.8047782159636133,5.207242375899315e-14,0.0012443541925272492,1.240566436858253e-13
0,2,13.641168981481314,7.116879605989707e-26,-0.012073035901877582,0.3590713121325365,1.067531940898456e-25,0.35907131213253657
1,2,13.763692129629817,4.2383269062995474e-30,0.7927051800617357,8.270442912388353e-14,1.2714980718898644e-29,1.240566436858253e-13
