group,n,n_sequence,lat,lon,dist_mainshock_km,median_date,median_date_sequence,mw_max,frac_default_depth,b,sigma_b,n_above_mc
0,625,387,-8.242592000000002,116.243664,29.612481126812465,2018-08-11,2018-08-06,6.79469,0.5456,0.989888724121225,0.03189597238302632,625
1,259,178,-8.665250965250966,116.2711583011583,40.065844834176666,2018-08-07,2018-08-06,5.19544,0.36293436293436293,1.7946669400848383,0.09852163894291034,259
2,698,391,-8.338452722063037,116.80687679083096,36.132036905724284,2018-08-25,2018-08-20,6.70488,0.6590257879656161,1.0019617600231026,0.03139071724358824,698
