period,n,n_background,rate_per_year,background_rate_per_year,ratio_to_pre,p_value
Sep-Dec 2018,87,69,262.61776859504135,208.28305785123968,46.84330417097108,8.307047457194917e-89
Jan-Jul 2019,47,40,81.3590047393365,69.24170616113743,14.512059204680096,6.499425819523158e-31
Aug 2019-Jul 2020,40,33,40.02739726027397,33.022602739726025,7.139713184931507,6.20268367284414e-17
Aug 2020-Jul 2021,13,13,13.044642857142856,13.044642857142856,2.326781529017857,0.009238056814787596
Aug 2021-Dec 2023,41,32,16.978741496598637,13.251700680272108,3.0285092917375285,4.206704036125354e-07
