mc,b,sigma_b,a,n,mean_mag
3.4,0.9468127297140284,0.014265572214090933,6.6848434926259745,2922.0,3.8086910043281996
3.5,1.0090353208180616,0.017029364240895073,6.925549629449052,2477.0,3.8804056289636657
3.6,1.1381065417537217,0.02265404418173366,7.436436184346098,2184.0,3.931593871900642
3.7,1.1893325011095468,0.026941403306871343,7.645796093562785,1759.0,4.015158171914155
3.8000000000000003,1.2405094140570485,0.03252598545884943,7.857575008691328,1392.0,4.100093660702586
3.9000000000000004,1.266575186060531,0.03849782747352363,7.967807645060541,1067.0,4.192888828616683
4.0,1.2735477931859613,0.045313069514568774,7.995104240481514,796.0,4.291011530330403
4.1000000000000005,1.2373843482972933,0.05043163009018778,7.833698311442115,576.0,4.400977836838542
4.200000000000001,1.3700459154090663,0.06857625480778355,8.42905398545589,473.0,4.466992647486258
4.300000000000001,1.3941605265925712,0.08353335201547722,8.543893526373845,354.0,4.561509667372881
4.4,1.3192593940128923,0.09156420467974283,8.199193014482942,248.0,4.679195671354839
4.500000000000001,1.3476665494797082,0.11381449413023731,8.334012416876604,186.0,4.7722566309677426
4.600000000000001,1.2556788915711339,0.1276689675612699,7.87649344634478,126.0,4.8958642849047616
4.700000000000001,1.2470726253431177,0.15350620824285682,7.829724287666589,93.0,4.998251154806451
