band_km,n_pre,n_post,ratio,p_value,frac_triggered
0-25,1,36,338.0750675675676,8.430993559025305e-36,0.3333333333333333
25-50,19,85,42.01225254860123,1.7277163948378652e-67,0.12941176470588237
50-75,18,12,6.2606493993994,1.0324429734122486e-05,0.16666666666666666
75-100,10,2,1.8781948198198197,0.3236484579485699,0.0
