days,n,median_along_km,median_lon,median_lat
0-3,130,5.421641545579298,116.435,-8.46
3-7,28,-10.858616662562998,116.58500000000001,-8.315000000000001
7-14,284,28.179646588009167,116.22,-8.26
14-21,54,25.1075675687333,116.25,-8.344999999999999
21-35,345,-30.708746722889586,116.76,-8.35
35-64,115,-9.108201855650737,116.56,-8.24
