subset,cluster,n,mean_depth,sd_depth,frac_default
all events,0,161,11.813664596273291,5.406252131726863,0.6583850931677019
all events,1,26,47.30769230769231,40.4561681139173,0.2692307692307692
all events,2,14,96.71428571428571,70.88498655343963,0.07142857142857142
all events,3,15,17.4,12.670550782931937,0.6
all events,4,11,179.27272727272728,58.43131165580816,0.0
all events,5,15,19.2,34.272437905699086,0.8666666666666667
all events,6,17,20.41176470588235,35.5950467472818,0.6470588235294118
all events,7,18,47.77777777777778,40.188607627119104,0.2222222222222222
