dt,region,mb,ms,event_name,lat,lon,depth,mrr,mtt,mpp,mrt,mrp,mtp,m0_dynecm,mw,strike1,dip1,rake1,strike2,dip2,rake2,plunge_t,plunge_p,style
1979-05-21 16:31:05.200,BALI ISLAND REGION,5.7,0.0,052179E,-8.86,115.7,15.0,3.2e+24,-2.046e+24,-1.153e+24,-5.502e+24,-6.17e+23,-3.51e+23,6.217206486839568e+24,5.795730194309542,262.4024408024635,77.15572287496369,92.25554897698294,72.35513830971352,13.037539542934491,80.20661276605733,57.786820990013545,32.11958115568748,thrust
1979-05-30 09:38:52.900,BALI ISLAND REGION,6.1,5.8,053079A,-8.74,115.81,20.0,1.58e+25,-1.16e+25,-4.2e+24,-1.951e+25,-1.25e+24,-1.34e+24,2.418508217889697e+25,6.189031711615662,265.0839224394776,72.39657858911967,91.8803425503624,78.88843682897131,17.700400243412524,84.09568979142735,62.55826572059924,27.373160211569463,thrust
1979-10-20 01:41:10.400,BALI ISLAND REGION,6.0,6.2,102079B,-8.65,115.8,20.0,3.288e+25,-3.05e+25,-2.38e+24,-3.673e+25,3.22e+24,-2.54e+24,4.872799298144753e+25,6.391852349293079,272.3443984032118,69.69422509254002,94.76961398324889,78.82508672112506,20.83537299257229,77.33530679985569,64.99268465689056,24.549487091756724,thrust
1979-12-17 19:58:23.800,BALI ISLAND REGION,5.6,6.3,121779B,-8.54,115.68,15.0,3e+25,-2.723e+25,-2.77e+24,-5.371e+25,-7.75e+24,3.03e+24,6.147015861375339e+25,6.459109555832417,105.87205912976142,14.765987980966843,111.39800418304175,263.81236850976563,76.27257852193145,84.50707778283791,58.38099788650922,31.06136666881432,thrust
1984-01-17 02:09:04.800,BALI SEA,5.7,0.0,011784A,-7.65,117.25,296.6001,1.057e+24,-8.16e+23,-2.41e+23,1.572e+24,4e+22,4.37e+23,1.8932369106902603e+24,5.451469975277746,314.07973692050405,20.357941506404213,127.4582390590373,94.82353421592902,73.96949140446033,77.28290956213986,59.11576206678135,27.883303297410976,thrust
1989-06-09 15:34:12.500,BALI SEA,5.8,0.0,060989C,-8.05,117.29,247.6,-1.1e+22,-3.46e+23,3.58e+23,3.483e+24,1.285e+24,1.125e+24,3.8951430654085097e+24,5.66034894238765,346.4026639069578,16.74213197223347,-175.44490664276586,252.0398948588835,88.68910552903985,-73.30780315411705,41.37285382162383,43.89269584410882,strike-slip
1995-03-20 08:14:52.300,SUMBAWA ISLAND REGION,5.4,0.0,032095I,-8.14,116.45,222.0,-1.409e+24,-3.336e+24,4.745e+24,2.547e+24,1.9e+22,-1.106e+24,5.052267510732187e+24,5.735657558531727,212.00143226913045,64.22481766706338,-23.11359333479346,312.5157419866933,69.29852621487454,-152.2991978614884,3.297335920371942,33.87897911594639,strike-slip
1996-11-02 00:08:50.600,BALI SEA,5.5,0.0,110296A,-7.6,117.46,305.2,3.488e+24,-1.008e+24,-2.48e+24,3.211e+24,2.639e+24,-1.211e+24,5.329884332703666e+24,5.751145189480676,45.16557961783586,71.00169746644842,98.99940972196991,199.22285721298636,20.95065427223988,65.5661415738117,62.94252820802807,25.47818467340507,thrust
1997-10-23 01:16:01.800,SUMBAWA ISLAND REGION,5.5,0.0,102397A,-8.77,116.95,154.3,-8.17e+23,9.98e+23,-1.81e+23,3.487e+24,-2.22e+23,6.34e+23,3.6685877391715736e+24,5.642999273511404,35.30018502216762,12.885148339369916,-146.85000312802708,272.8157118386533,82.99578821962213,-79.15769210337565,37.090441184830404,50.85287089855891,normal
2002-10-03 19:05:10.700,BALI SEA,6.0,0.0,100302D,-7.59,115.71,316.7,5.706e+24,-5.552e+24,-1.55e+23,8.031e+24,2.37e+24,4.815e+24,1.118041450483836e+25,5.965638603310703,329.5319780750332,33.3007717595773,147.08973814732238,87.94162580762968,72.6442437027934,61.124167731061235,53.31504004046176,22.33784247420226,thrust
