no,lat,lon,depth,mw,dt,east_km,north_km,t_days,g
1531,-8.01,116.08,10,4.131386048,2011-04-12 17:14:59,398.6150038564346,9114.48320219865,468.4196412037037,0
1532,-8.25,116.02,25,4.229091327,2011-04-12 20:42:03,392.0665282497308,9087.931631468493,468.5634375,0
1547,-8.32,115.83,26,3.897688751,2011-04-19 11:36:12,371.1608501744885,9080.135006095137,475.184375,0
1548,-8.31,116.02,20,4.279798144,2011-04-25 16:11:20,392.08287099347706,9081.297510946386,481.3754398148148,0
1560,-8.61,115.97,14,3.932056826,2011-05-04 23:13:41,386.66407593516914,9048.1121647914,490.66873842592594,1
1578,-8.74,115.77,13,3.746973283,2011-05-22 22:26:53,364.70066725463505,9033.671797983565,508.6362384259259,1
1584,-8.36,116.96,10,4.052483646,2011-05-31 00:42:18,495.5959854808334,9075.903017092673,516.7302777777778,2
1589,-8.89,116.56,12,3.8200998,2011-06-05 16:58:48,451.62286867894034,9017.280373432448,522.4084027777777,1
1600,-8.9,116.15,30,3.878988301,2011-06-24 04:09:12,406.5443087776299,9016.096259685411,540.8739583333333,1
1700,-7.98,116.3,10,3.816551943,2011-09-16 05:12:55,422.8549564026849,9117.84775349974,624.9182060185185,0
1718,-8.69,116.91,31,3.755775451,2011-09-25 20:07:37,490.09945947420476,9039.419099273884,634.539525462963,2
1800,-8.56,117.23,20,3.739803149,2011-10-20 19:33:29,525.3100888561088,9053.78486433835,659.5158217592592,2
2039,-7.96,116.51,11,3.995339522,2011-12-29 04:08:32,445.9965106951294,9120.092227369712,728.8734953703704,0
2070,-8.49,117.2,17,3.983427703,2012-01-12 06:13:58,522.0127636031335,9061.525564510464,742.9606018518518,2
2131,-8.3,116.79,10,3.753819219,2012-01-24 01:16:24,476.875353457303,9082.530323761153,754.7539583333333,2
2481,-8.77,117.02,20,3.779094229,2012-05-02 19:03:21,502.1996507058212,9030.575766022006,854.4948958333333,2
2672,-8.4,115.83,13,3.848998402,2012-07-27 08:17:01,371.18711751732246,9071.288946872775,940.0460532407408,0
2744,-8.49,116.07,12,3.730522838,2012-09-03 04:45:50,397.63652142772753,9061.408577898952,977.8993981481482,1
2976,-8.3,116.72,10,3.828908522,2012-09-24 05:15:08,469.1670861413173,9082.525565607428,998.9197453703704,2
3029,-8.36,116.23,17,4.165794755,2012-10-08 13:18:27,415.22026654792614,9075.820409902937,1013.2553819444445,0
3064,-8.17,116.4,14,3.912447825,2012-10-19 14:15:33,433.9070001022554,9096.859127573694,1024.2950347222222,0
3074,-8.31,115.77,15,3.989638877,2012-10-23 15:00:22,364.5493255360196,9081.22075487152,1028.3261574074074,0
3094,-8.72,116.78,19,3.817781955,2012-10-27 21:15:21,475.80055858028294,9036.096566318525,1032.5865625,1
3120,-8.34,116.95,10,3.762338305,2012-11-05 00:23:44,494.4947014038176,9078.113961311048,1040.7173842592592,2
3125,-8.63,116.43,57,3.862437062,2012-11-06 07:51:32,437.28567062154895,9046.006776321608,1042.0283564814815,1
3171,-8.27,116.02,10,3.77211286,2012-11-18 08:49:00,392.071962758913,9085.72026010504,1054.0682638888889,0
3406,-8.87,116.87,10,3.796002609,2013-02-20 09:10:02,485.70610514032256,9019.517709620697,1148.0828703703703,1
3516,-8.3,116.74,10,3.995298936,2013-04-02 00:33:09,471.36945227694963,9082.527063806014,1188.723923611111,2
3643,-8.44,116.04,16,5.072359857,2013-06-22 05:42:37,394.3205438960182,9066.928988301383,1269.9388310185186,0
3644,-8.27,116.07,10,3.792259628,2013-06-22 09:23:57,397.57897456242887,9085.73346429133,1270.0925347222221,0
3653,-8.3,116.04,10,3.825800986,2013-07-01 09:38:32,394.28278610743223,9082.408582629068,1279.1026620370371,0
3660,-8.43,117.2,10,4.406022159,2013-07-18 08:09:37,522.0161700858747,9068.158847820196,1296.0409143518518,2
3661,-8.44,117.19,10,4.908308171,2013-07-18 15:43:10,520.9148198153022,9067.053851884002,1296.3558796296297,2
3662,-8.46,117.23,10,4.50538924,2013-07-18 19:33:00,525.3166562901799,9064.840385694482,1296.5154861111112,2
3676,-8.09,116.16,11,5.805703489,2013-08-21 04:43:14,407.44989153880164,9105.657008618726,1329.8975925925927,0
3689,-8.32,117.25,11,4.221043185,2013-09-05 17:51:56,527.5279715561875,9080.316686295948,1345.445300925926,2
3727,-8.81,115.89,10,3.775230039,2013-09-24 08:33:41,377.92515294768657,9025.972461012665,1364.057627314815,1
3733,-8.43,116.92,17,3.832915674,2013-09-29 20:09:39,491.19354643946406,9068.16357973592,1369.5409375,2
3881,-7.97,117.2,23,4.183989493,2013-12-07 15:12:46,522.041489004853,9119.01335881309,1438.3347685185186,2
3903,-8.31,116.06,10,4.224239521,2013-12-15 14:19:37,396.48804115347673,9081.308179547243,1446.2978587962964,0
3950,-8.06,116.6,10,3.768768435,2014-01-30 07:31:23,455.9264475905319,9109.047475350475,1492.014363425926,0
3966,-8.28,115.98,14,3.778517135,2014-02-18 15:50:41,387.66912971014443,9084.603499276014,1511.361099537037,0
4035,-8.62,116.85,10,3.797112064,2014-03-21 11:08:05,483.4960386575982,9047.155899112602,1542.164849537037,2
4069,-8.25,117.2,10,4.14167065,2014-03-31 12:20:31,522.0262455454127,9088.058577056358,1552.215150462963,2
4070,-8.36,117.22,10,4.346800306,2014-03-31 12:24:09,524.222135346127,9075.896479374152,1552.2176736111112,2
4089,-8.4,117.2,10,3.801709158,2014-04-06 09:13:55,522.0178643290428,9071.475481888054,1558.0855671296297,2
4132,-8.48,117.14,14,3.888581138,2014-04-25 10:38:48,515.4093177432325,9062.634002635068,1577.144513888889,2
4288,-8.28,116.15,10,4.417725629,2014-08-21 10:22:11,406.39239944910213,9084.647504640252,1695.132974537037,0
4326,-8.33,116.02,14,4.430118054,2014-09-17 16:41:32,392.08834471760537,9079.086133141105,1722.396412037037,0
4335,-8.33,116.94,10,4.272189143,2014-09-22 18:42:34,493.393473505924,9079.219342320348,1727.480462962963,2
4663,-8.44,117.19,10,3.942205036,2015-03-04 16:04:39,520.9148198153022,9067.053851884002,1890.370798611111,2
4803,-8.38,116.55,13,3.911061637,2015-04-16 02:50:11,450.4568773813846,9073.663814749798,1932.819085648148,2
4851,-8.51,116.02,16,3.965021043,2015-05-02 18:43:13,392.13819632644555,9059.183635208692,1949.4809143518519,1
4856,-8.43,116.03,13,4.570052285,2015-05-04 10:21:24,393.2168693122148,9068.031958492338,1951.1324305555556,0
4904,-8.34,116.59,10,3.946661077,2015-05-25 23:08:20,454.8561854846575,9078.09088127364,1972.665023148148,2
4915,-8.73,115.82,24,3.899626611,2015-06-02 15:29:52,370.19794376714054,9034.795161069937,1980.3466435185185,1
4958,-8.29,116.1,10,4.534863105,2015-06-28 11:37:42,400.8881479400416,9083.529730207512,2006.1854166666667,0
5077,-8.89,116.3,10,3.912790821,2015-09-03 05:54:22,423.0352716711704,9017.236421182937,2072.9469907407406,1
5082,-8.28,116.04,10,3.919033466,2015-09-08 13:26:32,394.2774433505187,9084.61994459734,2078.2609953703704,0
5127,-8.13,116.88,29,3.774904695,2015-09-30 02:05:42,486.78031110970664,9101.328444518635,2099.7881944444443,2
5141,-8.42,117.1,15,3.912350852,2015-10-08 18:46:27,511.00835159414737,9069.268613129383,2108.4831597222224,2
5211,-8.25,116.06,10,3.727769711,2015-11-14 01:34:23,396.47236576209,9087.942225179428,2144.7664467592595,0
5236,-8.24,116.22,10,4.125052159,2015-11-24 21:42:21,414.0930907825557,9089.085811956562,2155.6053125,0
5349,-8.66,116.26,13,3.953613209,2016-01-14 19:28:15,418.58695152802323,9042.657768419795,2206.5121875,1
5350,-8.4,115.94,13,3.74219047,2016-01-15 22:05:07,383.29913128866895,9071.323383809655,2207.621122685185,0
5381,-8.21,116.81,10,4.130200957,2016-02-03 14:42:50,479.07297156254424,9092.481250095812,2226.3139814814813,2
5407,-8.35,117.17,10,3.768873434,2016-02-14 12:00:35,518.7175633537522,9077.004742969064,2237.2013078703703,2
5408,-8.6,117.05,10,3.910566004,2016-02-14 12:04:55,505.5016039451661,9049.369876642802,2237.2043171296295,2
5410,-8.47,115.85,26,3.960819069,2016-02-15 17:39:35,373.41212668903825,9063.55518370988,2238.436724537037,1
5449,-8.47,116.06,21,3.952795134,2016-02-29 17:11:53,396.53039379313753,9063.61729589502,2252.417488425926,1
5465,-8.78,116.95,10,3.745842042,2016-03-05 10:58:25,494.5010198546999,9029.469899496024,2257.158136574074,2
5539,-8.51,116.71,10,3.983878651,2016-03-30 00:00:54,468.0830781818972,9059.308197647004,2281.7015277777778,2
5544,-8.5,116.06,13,4.623892592,2016-03-31 09:34:44,396.53842421596755,9060.300239628368,2283.100023148148,1
5671,-8.33,117.14,14,4.190283733,2016-05-23 07:19:19,515.4152405634367,9079.217115004496,2336.0059837962963,2
5710,-8.45,116.04,15,3.875799042,2016-06-08 09:13:41,394.3232648836649,9065.823298910811,2352.0854050925927,0
5827,-7.97,117.19,10,3.781860089,2016-07-24 12:45:51,520.9394105410995,9119.013878881438,2398.2327430555556,2
5875,-8.73,115.91,10,4.065430375,2016-08-18 21:03:36,380.0992950848072,9034.824934967228,2423.5784027777777,1
5894,-8.29,116.03,10,4.07158269,2016-08-28 16:46:58,393.1787633045016,9083.511589106154,2433.4001851851854,0
5912,-8.25,116.78,10,3.952749589,2016-09-03 11:36:38,475.77111992596167,9088.057418624032,2439.184675925926,2
6010,-8.78,115.92,11,3.780815334,2016-10-20 22:42:49,381.21529156935185,9029.299366135278,2486.6473032407407,1
6067,-8.48,115.92,21,4.557088001,2016-11-23 16:21:33,381.12145505630934,9062.471544687705,2520.3825347222223,1
6098,-8.59,116.93,10,3.997656662,2016-12-08 07:50:13,492.2975517157721,9050.475081233704,2535.0274421296294,2
6170,-8.53,116.85,23,4.020784119,2017-01-29 02:04:03,483.4921546518792,9057.105857261464,2586.787048611111,2
6172,-8.48,116.86,14,4.139075686,2017-01-29 19:41:10,484.5906822567676,9062.634002635068,2587.5211574074074,2
6426,-8.23,115.96,26,3.828319253,2017-05-29 07:41:39,385.4519225690451,9090.126321492357,2707.0214930555558,0
6429,-8.41,117.13,10,3.971546914,2017-06-01 04:54:13,514.3112289869093,9070.373183459418,2709.9052199074076,2
6471,-8.06,116.43,25,3.714341789,2017-06-23 09:19:29,437.1946792745726,9109.025242856827,2732.0894328703703,0
7138,-8.26,115.96,10,4.055226734,2017-11-13 17:09:18,385.46055807525005,9086.809207736287,2875.4156944444444,0
7265,-8.41,116.96,10,4.216292843,2017-12-30 01:18:54,495.59654822334085,9070.375333198685,2921.7556944444445,2
7266,-8.4,116.96,10,3.962447221,2017-12-30 02:53:13,495.59643540819593,9071.480871096319,2921.8211921296297,2
7286,-8.89,116.87,10,4.061628511,2018-01-03 05:16:20,485.7068795791243,9017.306574188504,2925.9205787037035,1
7337,-8.62,116.28,57,3.811355049,2018-01-13 01:11:03,420.7790677809318,9047.084529660407,2935.7502430555555,1
7392,-8.29,116.73,13,4.484906106,2018-02-01 22:02:41,470.267518030476,9083.631871935557,2955.6194328703705,2
7393,-7.95,115.84,21,4.650714764,2018-02-02 05:59:14,372.14495887990444,9121.050692774716,2955.9503703703704,0
7630,-8.16,116.4,14,3.894084546,2018-04-02 21:18:19,433.9053557352646,9097.96471051493,3015.5886226851853,0
7637,-8.79,116.97,10,4.155271963,2018-04-05 02:41:45,496.7007005791627,9028.364574345645,3017.8132291666666,2
7706,-8.69,116.14,17,3.824070994,2018-04-29 17:13:13,405.3914591551459,9039.312990985549,3042.418414351852,1
7710,-8.48,115.84,28,4.00615668,2018-05-02 16:11:36,372.3145181463773,9062.446154651268,3045.375625,1
7744,-7.97,117.23,18,4.380052539,2018-05-21 11:57:47,525.3477284258818,9119.011638583392,3064.199363425926,2
7804,-8.34,116.09,12,4.28699463,2018-06-13 11:23:41,399.79951513028715,9077.998886108287,3087.1756828703706,0
7806,-8.54,116.92,26,4.297474123,2018-06-13 15:47:35,491.19605183678,9056.002604723157,3087.358946759259,2
7884,-8.02,117.2,22,3.82576,2018-07-14 20:13:05,522.0388053170955,9113.485750186943,3118.5433217592595,2
7891,-8.61,117.07,12,3.77108,2018-07-16 05:32:44,507.70204433418405,9048.26398226806,3119.9319675925926,2
7926,-8.35,116.5,13,6.43545,2018-07-28 22:47:38,444.9477471762118,9076.973891453725,3132.6506481481483,0
7927,-8.3,116.58,13,4.79814,2018-07-28 22:55:38,453.75040720238457,9082.511970657251,3132.656203703704,2
7928,-8.32,116.52,11,5.19544,2018-07-28 22:56:46,447.1458600248577,9080.29333988058,3132.6569907407406,2
7929,-8.34,116.55,12,4.2632,2018-07-28 23:03:41,450.4518274440859,9078.08608674968,3132.6617939814814,2
7930,-8.34,116.51,13,5.03652,2018-07-28 23:05:39,446.04744611359854,9078.08084617625,3132.663159722222,2
7931,-8.31,116.49,10,5.43382,2018-07-28 23:06:49,443.84097141056606,9081.394784876578,3132.6639699074076,0
7932,-8.42,116.66,10,4.9,2018-07-28 23:15:55,462.571411224621,9069.253758379728,3132.670289351852,2
7933,-8.43,116.46,10,5.2,2018-07-28 23:16:01,440.5556091796347,9068.123413520065,3132.670358796296,0
7934,-8.34,116.58,16,4.71868,2018-07-28 23:19:36,453.75509804471903,9078.08972445914,3132.672847222222,2
7935,-8.59,116.44,21,3.88044,2018-07-28 23:24:52,438.3794848367133,9050.430804629985,3132.6765046296296,1
7938,-8.36,116.55,12,3.88044,2018-07-28 23:29:38,450.4543494126366,9075.874951857877,3132.679814814815,2
7939,-8.29,116.28,26,3.77108,2018-07-28 23:33:21,420.71165102808845,9083.570140178728,3132.6823958333334,0
7940,-8.87,116.24,10,3.93512,2018-07-28 23:36:39,416.4334105478758,9019.434747112246,3132.6846875,1
7941,-8.3,116.57,10,4.31788,2018-07-28 23:38:04,452.6492067069309,9082.510791487684,3132.6856712962963,2
7942,-8.26,116.48,11,4.8776,2018-07-28 23:39:20,442.73255563236785,9086.921228775267,3132.686550925926,0
7943,-8.36,116.43,27,3.82576,2018-07-28 23:46:32,437.241799892459,9075.85785218753,3132.691550925926,0
7945,-8.26,116.64,10,3.77108,2018-07-28 23:51:45,460.3535812913455,9086.940669950573,3132.695173611111,2
7946,-8.54,116.51,10,3.88044,2018-07-28 23:57:42,446.0752017816933,9055.96927491563,3132.6993055555554,1
7948,-8.49,116.45,10,3.77108,2018-07-29 00:03:30,439.4641232883086,9061.488339604177,3132.7033333333334,1
7949,-8.32,116.48,12,4.5366,2018-07-29 00:05:30,442.74123619591876,9080.287777754758,3132.7047222222222,0
7950,-8.42,116.54,13,3.88044,2018-07-29 00:09:32,449.3610832485535,9069.240253721171,3132.707523148148,2
7951,-8.48,116.46,10,3.77108,2018-07-29 00:12:10,440.5632697492594,9062.59547479582,3132.709351851852,1
7952,-8.34,116.58,10,3.82576,2018-07-29 00:14:02,453.75509804471903,9078.08972445914,3132.7106481481483,2
7953,-8.35,116.57,16,4.48192,2018-07-29 00:18:33,452.655213464726,9076.982975455867,3132.713784722222,2
7954,-8.24,116.58,10,3.88044,2018-07-29 00:22:13,453.74341294673553,9089.145323448074,3132.7163310185183,2
7955,-8.28,116.61,10,4.15384,2018-07-29 00:26:09,457.0518305858967,9084.726453577427,3132.7190625,2
7956,-8.2,116.6,10,4.31788,2018-07-29 00:32:02,455.9417288748727,9093.569796137512,3132.723148148148,2
7957,-8.74,116.39,23,3.82576,2018-07-29 00:36:02,432.904062944505,9033.838223862924,3132.725925925926,1
7958,-8.31,116.49,11,4.5366,2018-07-29 00:37:34,443.84097141056606,9081.394784876578,3132.726990740741,0
7959,-8.3,116.62,16,4.42724,2018-07-29 00:43:54,458.15519591511463,9082.516409861348,3132.731388888889,2
7960,-8.52,116.39,12,3.93512,2018-07-29 00:46:14,432.86520378914247,9058.16165848786,3132.7330092592592,1
7961,-8.27,116.5,14,4.20852,2018-07-29 00:49:11,444.93659163412997,9085.818475094262,3132.7350578703704,0
7963,-8.72,116.31,15,3.77108,2018-07-29 00:52:37,424.10016894744274,9036.034320139363,3132.7374421296295,1
7964,-8.63,116.34,12,3.9898,2018-07-29 01:04:51,427.3830157043931,9045.990826123147,3132.7459375,1
7965,-8.65,116.34,15,3.7164,2018-07-29 01:07:35,427.38684237667337,9043.779583122247,3132.7478356481483,1
7967,-8.66,116.3,11,3.7164,2018-07-29 01:12:13,422.9878733082837,9042.666095970355,3132.751053240741,1
7968,-8.65,116.37,13,4.31788,2018-07-29 01:14:20,430.6875713553736,9043.78517178796,3132.752523148148,1
7969,-8.88,116.28,10,3.82576,2018-07-29 01:17:07,420.8340239375998,9018.337858639217,3132.7544560185183,1
7971,-8.59,116.41,19,3.9898,2018-07-29 01:22:53,435.0782764343623,9050.425856109208,3132.7584606481482,1
7972,-8.8,116.32,10,3.77108,2018-07-29 01:26:13,425.21620454154,9027.191252524219,3132.760775462963,1
7976,-8.7,116.4,24,3.7164,2018-07-29 01:39:09,433.997013862406,9038.262444169763,3132.7697569444445,1
7977,-8.75,116.32,18,4.15384,2018-07-29 01:43:14,425.206195012331,9032.719420321035,3132.7725925925924,1
7978,-8.28,116.55,12,4.79814,2018-07-29 01:44:24,450.4442975425084,9084.719478178966,3132.773402777778,2
7979,-8.32,116.44,10,5.11598,2018-07-29 01:50:31,438.3365854467651,9080.281770596284,3132.777650462963,0
7980,-8.61,116.36,15,4.37256,2018-07-29 01:53:16,429.5799175866166,9048.205804681786,3132.7795601851853,1
7981,-8.63,116.34,17,4.15384,2018-07-29 01:54:29,427.3830157043931,9045.990826123147,3132.7804050925924,1
7982,-8.86,116.23,15,4.09916,2018-07-29 01:55:31,415.33149708086466,9020.538142969295,3132.781122685185,1
7986,-8.65,116.37,11,3.82576,2018-07-29 02:16:23,430.6875713553736,9043.78517178796,3132.795613425926,1
7987,-8.28,116.52,12,4.8776,2018-07-29 02:20:08,447.14051179173634,9084.715616759804,3132.7982175925927,0
7988,-8.4,116.49,10,4.64596,2018-07-29 02:21:49,443.8538412849881,9071.444591181942,3132.799386574074,2
7989,-8.1,116.54,10,4.15384,2018-07-29 02:29:53,449.32027668147066,9104.618301643752,3132.804988425926,0
7990,-8.51,116.36,18,4.09916,2018-07-29 02:33:44,429.5615347270138,9059.261932349113,3132.807662037037,1
7991,-8.2,116.42,15,3.7164,2018-07-29 02:37:01,436.1149542968925,9093.545611217489,3132.8099421296297,0
7993,-8.84,116.23,15,3.88044,2018-07-29 02:43:19,415.3269247434721,9022.749460920782,3132.8143171296297,1
7994,-8.79,116.22,24,3.7164,2018-07-29 02:48:17,414.21567578121346,9028.275472139048,3132.8177662037037,1
7996,-8.73,116.31,17,3.88044,2018-07-29 02:53:24,424.1021888100475,9034.92868723755,3132.8213194444443,1
7997,-8.51,116.45,13,4.2632,2018-07-29 02:56:08,439.4672607659281,9059.277155540361,3132.8232175925928,1
7998,-8.31,116.5,13,4.48192,2018-07-29 03:03:23,444.94215606964417,9081.396187674372,3132.828252314815,0
7999,-8.34,116.5,11,4.64596,2018-07-29 03:04:28,444.94634689929876,9078.079466336208,3132.8290046296297,0
8000,-8.87,116.15,10,3.7164,2018-07-29 03:14:39,406.5367077375631,9019.413305475138,3132.836076388889,1
8001,-8.2,116.45,10,4.20852,2018-07-29 03:27:34,439.4194539124253,9093.550259082733,3132.8450462962965,0
8005,-8.16,116.43,10,3.7164,2018-07-29 03:40:40,437.2101960598173,9097.969500095804,3132.8541435185184,0
8006,-8.64,116.36,19,3.7164,2018-07-29 03:53:35,429.5854740248193,9044.888955363005,3132.863113425926,1
8010,-8.73,116.32,12,3.77108,2018-07-29 04:03:52,425.202207053115,9034.930683413497,3132.8702546296295,1
8012,-8.73,116.32,12,3.82576,2018-07-29 04:16:20,425.202207053115,9034.930683413497,3132.878912037037,1
8013,-8.44,116.55,12,3.7164,2018-07-29 04:21:02,450.464497285908,9067.030390076347,3132.882175925926,2
8014,-8.31,116.49,13,4.37256,2018-07-29 04:22:51,443.84097141056606,9081.394784876578,3132.8834375,0
8015,-8.59,116.37,11,3.77108,2018-07-29 04:27:17,430.6766384491819,9050.418856389539,3132.8865162037036,1
8016,-8.33,116.56,10,3.77108,2018-07-29 04:28:00,451.5516882972842,9079.192892368375,3132.8870138888888,2
8018,-8.86,116.28,10,3.7164,2018-07-29 04:35:47,420.8297389956421,9020.549154846602,3132.8924189814816,1
8020,-8.72,116.32,11,3.77108,2018-07-29 04:45:04,425.2002164706936,9036.036314099501,3132.898865740741,1
8021,-8.86,116.37,18,4.09916,2018-07-29 04:47:31,430.7264314249241,9020.567113375037,3132.9005671296295,1
8029,-8.81,116.29,11,3.77108,2018-07-29 05:38:04,421.9188581472335,9026.079487332148,3132.9356712962963,1
8030,-8.31,116.47,12,3.82576,2018-07-29 05:58:27,441.6385971089449,9081.391895935292,3132.949826388889,0
8031,-8.49,116.43,10,3.82576,2018-07-29 06:11:51,437.26274998158374,9061.485162965637,3132.9591319444444,1
8032,-8.86,116.28,32,4.09916,2018-07-29 06:25:17,420.8297389956421,9020.549154846602,3132.9684606481483,1
8033,-8.24,116.47,11,3.7164,2018-07-29 06:32:39,441.62829355599104,9089.130928319133,3132.973576388889,0
8035,-8.42,116.44,12,4.09916,2018-07-29 06:52:09,438.35231546580405,9069.22590466592,3132.9871180555556,0
8036,-8.27,116.45,10,3.9898,2018-07-29 07:19:14,439.4300949873825,9085.811217405608,3133.005925925926,0
8037,-8.25,116.49,10,4.04448,2018-07-29 07:24:46,443.8324680052082,9088.028222566252,3133.0097685185187,0
8041,-8.81,116.37,28,3.88044,2018-07-29 07:52:09,430.7170951067354,9026.095245608638,3133.028784722222,1
8042,-8.37,116.55,10,4.31788,2018-07-29 07:54:10,450.45561264700405,9074.769383581195,3133.030185185185,2
8046,-8.88,116.22,15,3.88044,2018-07-29 08:35:44,414.2364835302936,9018.32452660753,3133.059050925926,1
8048,-8.82,116.27,25,3.7164,2018-07-29 09:09:43,419.72143559302634,9024.969606433786,3133.082650462963,1
8052,-8.57,116.48,13,3.7164,2018-07-29 09:45:03,442.7780768719603,9052.648183665653,3133.1071875,1
8053,-8.27,116.46,10,3.88044,2018-07-29 09:58:28,440.5313977486967,9085.812724247866,3133.1165046296296,0
8054,-8.34,116.47,11,4.5366,2018-07-29 10:05:01,441.64303942275455,9078.075159540751,3133.121053240741,0
8065,-8.83,116.3,10,3.7164,2018-07-29 11:00:38,423.0227879966696,9023.870278805658,3133.159675925926,1
8069,-8.85,116.27,10,3.9898,2018-07-29 11:31:55,419.7279267775853,9021.652661185799,3133.1814004629628,1
8070,-8.2,116.5,10,4.04448,2018-07-29 11:32:39,444.92691805687906,9093.557457026196,3133.1819097222224,0
8098,-8.77,116.31,12,3.7164,2018-07-29 14:00:21,424.11029124112156,9030.506149893656,3133.2844791666666,1
8099,-8.71,116.4,35,3.93512,2018-07-29 14:10:19,433.9987662169548,9037.156831193703,3133.291400462963,1
8100,-8.88,116.27,10,4.04448,2018-07-29 14:10:45,419.73443983789394,9018.335710721014,3133.2917013888887,1
8120,-8.85,116.29,11,3.82576,2018-07-29 16:04:46,421.92727115022336,9021.656913435381,3133.3708796296296,1
8123,-8.44,116.44,10,3.93512,2018-07-29 16:42:27,438.35548386913,9067.01472482792,3133.397048611111,0
8124,-8.64,116.37,10,3.93512,2018-07-29 17:05:22,430.68574395736255,9044.890787307802,3133.412962962963,1
8125,-8.58,116.34,10,3.77108,2018-07-29 17:23:26,427.37348750252977,9051.51892370761,3133.4255092592593,1
8129,-8.27,116.61,10,4.09916,2018-07-29 17:55:42,457.05074749796387,9085.832008700621,3133.4479166666665,2
8130,-8.32,116.5,10,4.59128,2018-07-29 18:03:15,444.9435513459748,9080.29061444589,3133.453159722222,0
8131,-8.29,116.44,10,3.7,2018-07-29 18:07:56,438.33190284466997,9083.598519628613,3133.456412037037,0
8132,-8.71,116.37,19,3.82576,2018-07-29 18:42:11,430.69857981365703,9037.151466690791,3133.4801967592593,1
8135,-8.52,116.57,10,3.82576,2018-07-29 19:20:28,452.67590446272544,9058.188296919427,3133.5067824074076,2
8136,-8.39,116.57,10,4.2632,2018-07-29 19:48:26,452.66004467253174,9072.560712667266,3133.5262037037037,2
8137,-8.16,116.47,10,4.20852,2018-07-29 20:09:46,441.6166241036853,9097.97550406928,3133.5410185185187,0
8142,-8.75,116.31,10,3.88044,2018-07-29 20:45:06,424.1062354295698,9032.717419714207,3133.5655555555554,1
8144,-8.81,116.29,10,3.9898,2018-07-29 21:10:17,421.9188581472335,9026.079487332148,3133.5830439814813,1
8145,-8.77,116.38,26,3.7164,2018-07-29 21:22:32,431.809551961564,9030.519570337327,3133.5915509259257,1
8146,-8.8,116.33,11,3.77108,2018-07-29 21:30:20,426.31601470435584,9027.193234829683,3133.5969675925926,1
8149,-8.88,116.36,14,4.04448,2018-07-29 21:48:34,429.63061619018293,9018.35397518442,3133.6096296296296,1
8152,-8.78,116.29,12,4.09916,2018-07-29 22:14:54,421.91257321963144,9029.396411687503,3133.627916666667,1
8155,-8.44,116.45,12,4.04448,2018-07-29 22:34:06,439.4563116700442,9067.016289962332,3133.64125,0
8160,-8.53,116.42,10,4.04448,2018-07-29 23:52:01,436.16868559669547,9057.06113973783,3133.695358796296,1
8163,-8.34,116.47,10,4.09916,2018-07-30 00:42:47,441.64303942275455,9078.075159540751,3133.730613425926,0
8164,-8.83,116.33,13,3.77108,2018-07-30 00:56:40,426.3219588562233,9023.876333767852,3133.74025462963,1
8165,-8.43,116.55,10,4.09916,2018-07-30 01:57:43,450.46322355221236,9068.135962249555,3133.782650462963,2
8167,-8.77,116.41,13,3.7164,2018-07-30 02:18:18,435.1092045722346,9030.524882816271,3133.7969444444443,1
8168,-8.84,116.26,13,3.7164,2018-07-30 02:26:08,418.62605524883907,9022.756142124197,3133.8023842592593,1
8173,-8.68,116.43,10,3.82576,2018-07-30 05:16:45,437.29394676689986,9040.478754140957,3133.9208680555557,1
8189,-8.5,116.53,13,3.82576,2018-07-30 10:02:27,448.2708878210864,9060.394332972664,3134.1192708333333,1
8193,-8.37,116.41,17,3.7164,2018-07-30 12:19:47,435.0413403091186,9074.749019099152,3134.2146412037036,0
8195,-8.31,116.35,17,3.82576,2018-07-30 13:13:05,428.42419816886854,9081.372228511947,3134.2516550925925,0
8198,-8.04,116.4,10,3.9898,2018-07-30 14:07:15,433.88577943023665,9111.231663985574,3134.2892708333334,0
8202,-8.22,116.4,10,4.04448,2018-07-30 15:13:41,433.91525195198307,9091.331204766564,3134.3354050925927,0
8210,-8.33,116.48,10,4.2632,2018-07-30 16:59:26,442.74268902430174,9079.182200662211,3134.4088425925925,0
8211,-8.3,116.66,10,3.93512,2018-07-30 17:10:55,462.5599649508718,9082.520405114614,3134.4168171296296,2
8213,-8.24,116.5,11,3.7164,2018-07-30 18:12:59,444.9324358119104,9089.13518490847,3134.4599189814817,0
8224,-8.68,116.37,10,3.77108,2018-07-30 20:10:46,430.69306614121297,9040.468321809944,3134.541712962963,1
8227,-8.44,116.4,11,3.82576,2018-07-30 22:02:17,433.9521542511974,9067.008182236998,3134.619155092593,0
8228,-8.25,116.56,13,3.93512,2018-07-30 22:43:03,451.54189502969405,9088.037393908518,3134.647465277778,2
8230,-8.8,116.49,16,3.77108,2018-07-30 23:27:06,443.91270622012667,9027.220957038558,3134.6780555555556,1
8235,-8.3,116.59,10,3.9898,2018-07-31 04:18:01,454.85160633856356,9082.513122079232,3134.8800810185185,2
8239,-8.28,116.46,13,3.82576,2018-07-31 05:51:50,440.53289746131884,9084.70714645551,3134.9452314814816,0
8242,-8.5,116.43,14,3.77108,2018-07-31 06:16:20,437.26437482481623,9060.379567582639,3134.9622453703705,1
8252,-8.76,116.48,22,3.7164,2018-07-31 10:51:52,442.80680001753336,9031.641855937283,3135.153587962963,1
