south_edge,n_total,ari_bootstrap,group,n,lat,lon,mean_depth,b,sigma_b
-8.9,1582,0.9808760003941669,0,625,-8.242592000000002,116.243664,12.5472,0.989888724121225,0.03189597238302632
-8.9,1582,0.9808760003941669,1,259,-8.665250965250966,116.2711583011583,15.455598455598455,1.7946669400848383,0.09852163894291034
-8.9,1582,0.9808760003941669,2,698,-8.338452722063037,116.80687679083096,11.998567335243553,1.0019617600231026,0.03139071724358824
-9.1,1640,0.9753628862664958,0,684,-8.267499999999998,116.23008771929825,12.793859649122806,1.0094884156057768,0.03144954716529266
-9.1,1640,0.9753628862664958,1,700,-8.336085714285714,116.80522857142857,12.007142857142858,1.0084172450680817,0.03154941292851188
-9.1,1640,0.9753628862664958,2,256,-8.77765625,116.3966796875,15.91015625,1.877703828153104,0.11018875014572528
-9.3,1673,0.9863373214643955,0,708,-8.336101694915254,116.80353107344632,12.0,1.0079642321628577,0.031350482461219076
-9.3,1673,0.9863373214643955,1,249,-8.862570281124498,116.45489959839357,18.06425702811245,1.70632228677321,0.10386826556966446
-9.3,1673,0.9863373214643955,2,716,-8.285837988826815,116.22222067039107,12.874301675977653,1.0435552511596942,0.03248844052057863
