group,n_total,n_above_mc,b,sigma_b,b_boot,b_boot_sd,ci_lo,ci_hi,mean_mag,estimable
first-year post,662,370,1.2497091793150938,0.058889184546650576,1.3453116747355087,0.08663211207378434,1.1820861036903159,1.537087615508011,3.997516437497297,True
later,1206,338,1.4068270246367192,0.06818212370078106,1.5971764226614642,0.1292403764094753,1.3337116179393973,1.8415171060647084,3.9587049610917155,True
main sequence,1425,923,1.1097794933155178,0.0356745964610828,1.1579962147429708,0.049046960641513225,1.0665403656512515,1.2584689655466386,4.041334030335862,True
pre-sequence,196,128,1.1535870479224493,0.08652109125458923,1.4129422903923536,0.1996631603642428,1.093362978045899,1.8653438794135349,4.026473091203125,True
