Platebound,Stepclass,Lon1,Lat1,Lon2,Lat2,Vel_mm_per_yr,Vel_azimuth_deg,Vel_divergent_mm_per_yr,Vel_rightlateral_mm_per_yr,Step_azimuth_deg,Steplength_km
BS-SU,CCB,120.341,-4.64,120.516,-5.276,13.1,308.0,-7.7,-10.5,165.0,73.3
BS-SU,CCB,120.516,-5.276,120.62,-6.122,10.9,324.0,-5.3,-9.6,173.0,94.9
BS-SU,CTF,120.62,-6.122,120.546,-6.968,9.1,347.0,-2.8,-8.7,185.0,94.4
BS-SU,CTF,120.546,-6.968,120.543,-7.812,9.0,15.0,2.3,-8.7,180.0,93.9
BS-AU,CTF,132.689,-6.681,133.188,-6.515,8.7,247.0,-0.7,-8.7,71.0,58.1
BS-AU,CTF,133.188,-6.515,133.686,-6.348,8.8,262.0,1.7,-8.7,71.0,58.1
BS-AU,CRB,133.686,-6.348,133.982,-5.641,10.8,273.0,10.2,-3.5,23.0,85.2
BS-AU,CRB,133.982,-5.641,133.449,-5.344,13.1,270.0,6.3,11.5,299.0,67.6
BS-AU,CRB,133.449,-5.344,133.906,-4.812,15.0,270.0,11.3,-9.8,41.0,77.9
MS-BH,CTF,127.666,-1.758,127.241,-1.388,85.7,129.0,-3.7,-85.6,311.0,62.6
MS-BH,CTF,127.241,-1.388,126.817,-1.018,86.0,126.0,-8.4,-85.6,311.0,62.6
MS-BH,OTF,126.817,-1.018,126.393,-0.648,86.5,122.0,-13.0,-85.6,311.0,62.6
MS-BH,CTF,126.393,-0.648,125.969,-0.278,87.4,119.0,-17.6,-85.6,311.0,62.6
BH-BS,CCB,127.666,-1.758,128.383,-2.286,64.9,269.0,-39.3,-51.7,126.0,99.0
BH\BS,SUB,128.383,-2.286,129.258,-2.416,66.1,267.0,-13.4,-64.8,98.0,98.3
BH\BS,SUB,129.258,-2.416,130.107,-2.519,66.8,264.0,-14.7,-65.1,97.0,95.0
BH\BS,SUB,130.107,-2.519,130.585,-2.694,67.5,262.0,-31.5,-59.7,110.0,56.5
BH\BS,SUB,130.585,-2.694,131.063,-2.868,68.3,261.0,-33.3,-59.7,110.0,56.5
BH\BS,SUB,131.063,-2.868,131.489,-3.149,69.4,260.0,-47.9,-50.2,123.0,56.7
BH\BS,SUB,131.489,-3.149,131.915,-3.429,70.6,259.0,-49.6,-50.2,123.0,56.6
BH\BS,SUB,131.915,-3.429,132.316,-3.935,72.2,258.0,-64.8,-31.8,142.0,71.7
BH\BS,SUB,132.316,-3.935,132.717,-4.44,74.2,257.0,-67.0,-31.8,142.0,71.7
BH-BS,CCB,132.717,-4.44,133.311,-4.626,75.7,256.0,-39.6,-64.6,107.0,69.0
BH-BS,OCB,133.311,-4.626,133.906,-4.812,76.9,255.0,-41.7,-64.6,107.0,69.1
SU-TI,CTF,120.886,-11.493,120.995,-10.829,40.9,179.0,-7.0,-40.3,9.0,74.7
SU-TI,CTF,120.995,-10.829,121.033,-10.165,41.3,176.0,-5.4,-40.9,3.0,74.0
SU-TI,CTF,121.033,-10.165,120.821,-9.586,41.2,172.0,8.6,-40.3,340.0,68.4
SU-TI,CTF,120.821,-9.586,120.61,-9.007,40.8,169.0,6.1,-40.3,340.0,68.4
SU-TI,CTF,120.61,-9.007,120.576,-8.41,40.8,165.0,-8.0,-40.0,357.0,66.5
SU-TI,CTF,120.576,-8.41,120.543,-7.812,41.4,162.0,-10.4,-40.0,357.0,66.5
BS-TI,OCB,120.543,-7.812,121.253,-7.99,35.4,149.0,-24.7,25.3,104.0,80.7
BS-TI,OCB,121.253,-7.99,121.891,-8.062,34.8,148.0,-27.1,21.9,96.0,70.7
BS-TI,OCB,121.891,-8.062,122.673,-7.853,34.0,147.0,-32.4,10.6,75.0,89.2
BS-TI,OCB,122.673,-7.853,123.383,-7.784,33.2,146.0,-29.2,15.7,84.0,78.6
BS-TI,CCB,123.383,-7.784,124.235,-7.784,32.4,145.0,-26.6,18.5,90.0,93.9
BS-TI,OCB,124.235,-7.784,124.75,-7.644,31.7,144.0,-29.7,11.0,75.0,58.9
BS-TI,OCB,124.75,-7.644,125.264,-7.503,31.1,144.0,-29.1,11.0,75.0,58.8
BS-TI,OCB,125.264,-7.503,125.761,-7.433,30.5,143.0,-26.8,14.6,82.0,55.4
BS-TI,OCB,125.761,-7.433,126.258,-7.309,29.9,143.0,-27.5,11.8,76.0,56.5
BS-TI,OCB,126.258,-7.309,126.755,-7.185,29.4,142.0,-26.9,11.8,76.0,56.5
BS-TI,OCB,126.755,-7.185,127.393,-7.184,28.8,141.0,-22.5,17.9,90.0,70.4
BS-TI,OCB,127.393,-7.184,127.854,-6.99,28.1,141.0,-27.0,7.9,67.0,55.3
BS-TI,OCB,127.854,-6.99,128.315,-6.795,27.6,140.0,-26.4,7.9,67.0,55.3
BS-TI,OCB,128.315,-6.795,128.776,-6.565,26.9,140.0,-26.2,6.3,63.0,57.0
BS-TI,OCB,128.776,-6.565,129.236,-6.334,26.3,139.0,-25.6,6.3,63.0,56.9
BS-TI,CCB,129.236,-6.334,129.839,-6.526,25.8,138.0,-13.2,22.2,108.0,70.0
BS-TI,CCB,129.839,-6.526,130.443,-6.717,25.4,137.0,-12.4,22.2,108.0,70.0
BS-TI,OCB,130.443,-6.717,131.01,-6.68,24.9,135.0,-18.9,16.3,86.0,62.8
BS-TI,CCB,131.01,-6.68,131.577,-6.642,24.4,134.0,-18.2,16.3,86.0,62.8
BS-TI,CCB,131.577,-6.642,132.133,-6.662,23.9,133.0,-15.6,18.1,92.0,61.4
BS-TI,CCB,132.133,-6.662,132.689,-6.681,23.4,132.0,-14.9,18.1,92.0,61.4
BH/CL,SUB,138.793,-1.159,138.674,-0.82,28.1,5.0,-11.4,25.7,341.0,40.0
BH/CL,SUB,138.674,-0.82,138.054,-0.718,27.7,4.0,-27.6,2.5,279.0,69.9
BH/CL,SUB,138.054,-0.718,137.435,-0.616,27.1,4.0,-27.0,2.5,279.0,69.7
BH/CL,SUB,137.435,-0.616,136.943,-0.422,26.6,4.0,-25.3,8.1,292.0,58.8
BH/CL,SUB,136.943,-0.422,136.451,-0.228,26.1,4.0,-24.8,8.1,292.0,58.8
BH/CL,SUB,136.451,-0.228,135.656,-0.023,25.5,3.0,-25.0,5.0,284.0,91.3
BH/CL,SUB,135.656,-0.023,134.938,0.421,24.7,3.0,-21.6,12.1,302.0,93.9
BH/CL,SUB,134.938,0.421,134.471,0.259,24.1,2.0,-22.5,-8.8,251.0,55.0
BH/CL,SUB,134.471,0.259,133.899,0.057,23.6,3.0,-21.9,-8.9,251.0,67.5
BH/CL,SUB,133.899,0.057,133.327,-0.146,23.1,3.0,-21.3,-8.9,251.0,67.5
BH/CL,SUB,133.327,-0.146,132.824,-0.043,22.5,3.0,-22.3,3.2,282.0,57.1
BH/CL,SUB,132.824,-0.043,132.515,0.017,22.1,3.0,-21.9,2.9,281.0,35.0
BH/PS,SUB,132.515,0.017,132.373,0.034,21.8,26.0,-20.6,-7.2,277.0,15.9
BH/PS,SUB,132.373,0.034,131.738,0.15,21.0,27.0,-20.1,-5.9,280.0,71.8
BH/PS,SUB,131.738,0.15,131.102,0.266,19.5,28.0,-18.6,-5.9,280.0,71.9
BH/PS,SUB,131.102,0.266,130.546,0.475,18.1,29.0,-17.9,-2.6,291.0,66.1
BH/PS,SUB,130.546,0.475,129.989,0.684,16.7,30.0,-16.5,-2.7,291.0,66.2
BH/PS,SUB,129.989,0.684,129.197,1.059,15.0,30.0,-14.9,-1.3,295.0,97.4
AU-MO,CTF,140.798,-5.11,140.264,-4.931,12.9,113.0,0.9,-12.8,289.0,62.4
AU-MO,CTF,140.264,-4.931,139.731,-4.751,12.8,110.0,0.2,-12.8,289.0,62.3
AU-MO,CTF,139.731,-4.751,138.959,-4.548,12.8,106.0,0.3,-12.8,285.0,88.5
AU-MO,CTF,138.959,-4.548,138.484,-4.442,12.8,103.0,0.0,-12.8,283.0,53.9
AU-MO,CTF,138.484,-4.442,138.01,-4.337,12.8,100.0,-0.6,-12.8,283.0,53.8
AU-MO,CTF,138.01,-4.337,137.177,-4.221,12.8,96.0,-0.3,-12.8,278.0,93.3
AU-MO,CTF,137.177,-4.221,136.672,-4.199,12.9,93.0,0.1,-12.8,272.0,56.1
AU-MO,CTF,136.672,-4.199,136.167,-4.177,12.9,90.0,-0.5,-12.8,273.0,56.1
AU-MO,CTF,136.167,-4.177,135.459,-4.218,12.9,87.0,0.0,-12.9,267.0,78.6
AU-MO,CTF,135.459,-4.218,134.966,-4.298,12.9,84.0,0.6,-12.8,261.0,55.4
AU-BH,CTF,134.966,-4.298,134.488,-4.437,93.2,78.0,6.7,-93.0,254.0,55.2
AU-BH,CRB,134.488,-4.437,133.906,-4.812,93.1,77.0,32.3,-87.3,237.0,76.8
MO-BH,CTF,138.972,-1.607,138.488,-1.754,80.4,77.0,5.5,-80.2,253.0,56.2
MO-BH,CTF,138.488,-1.754,138.003,-1.9,80.4,77.0,5.4,-80.2,253.0,56.3
MO-BH,CTF,138.003,-1.9,137.634,-2.08,80.4,77.0,18.3,-78.3,244.0,45.6
MO-BH,CTF,137.634,-2.08,137.282,-2.295,80.4,77.0,25.7,-76.2,239.0,45.9
MO-BH,CTF,137.282,-2.295,136.931,-2.493,80.4,77.0,22.9,-77.1,241.0,44.8
MO-BH,CRB,136.931,-2.493,136.562,-2.796,80.4,77.0,36.1,-71.9,231.0,53.1
MO-BH,CRB,136.562,-2.796,136.167,-3.1,80.4,77.0,33.8,-73.0,232.0,55.4
MO-BH,CRB,136.167,-3.1,135.771,-3.403,80.4,77.0,33.7,-73.0,232.0,55.4
MO-BH,CRB,135.771,-3.403,135.262,-3.849,80.4,77.0,38.4,-70.7,229.0,75.1
MO-BH,CRB,135.262,-3.849,134.966,-4.298,80.4,77.0,55.9,-57.9,213.0,59.8
SU-BU,CTF,96.48,14.4,96.503,14.129,28.0,182.0,-3.5,27.8,175.0,30.2
SU-BU,CRB,96.503,14.129,95.857,13.783,29.2,180.0,25.6,14.1,241.0,79.7
SU-BU,CRB,95.857,13.783,95.505,12.918,31.3,175.0,13.9,28.0,202.0,103.4
SU-BU,OSR,95.505,12.918,95.155,12.053,33.1,169.0,17.6,28.0,202.0,103.4
SU-BU,OSR,95.155,12.053,94.807,11.188,35.2,164.0,21.3,28.0,201.0,103.4
SU-BU,OSR,94.807,11.188,94.415,10.679,37.4,161.0,31.1,20.7,217.0,70.9
SU-BU,OSR,94.415,10.679,94.024,10.17,39.5,159.0,33.6,20.7,217.0,70.9
SU-BU,OTF,94.024,10.17,94.216,9.717,40.6,156.0,0.7,40.6,157.0,54.6
SU-BU,CTF,94.216,9.717,94.415,9.27,40.6,154.0,1.9,40.6,156.0,54.2
SU-BU,CRB,94.415,9.27,93.986,9.019,41.7,152.0,41.6,2.1,239.0,54.7
SU-BU,OTF,93.986,9.019,94.171,8.686,42.6,151.0,0.1,42.6,151.0,42.3
SU-BU,OTF,94.171,8.686,94.429,8.312,42.6,149.0,-2.4,42.5,146.0,50.3
SU-BU,OTF,94.429,8.312,94.775,7.847,42.5,146.0,-2.0,42.4,144.0,64.2
SU-BU,CRB,94.775,7.847,94.46,7.603,43.2,145.0,43.2,2.1,232.0,44.1
SU-BU,OTF,94.46,7.603,94.883,7.139,43.9,143.0,-3.9,43.7,138.0,69.5
SU-BU,OSR,94.883,7.139,94.497,6.837,44.7,141.0,44.7,-0.2,232.0,54.2
SU-BU,CTF,94.497,6.837,94.95,6.259,45.7,140.0,2.0,45.7,142.0,81.4
SU-BU,CTF,94.95,6.259,95.435,5.715,45.9,136.0,1.8,45.8,138.0,80.9
SU-BU,CTF,95.435,5.715,96.013,5.114,46.0,132.0,3.2,45.9,136.0,92.6
SU-BU,CTF,96.013,5.114,96.567,4.644,46.2,129.0,1.5,46.2,130.0,80.5
SU-BU,CRB,96.567,4.644,96.601,3.772,47.6,126.0,37.6,29.2,178.0,97.1
SU-BU,CRB,96.601,3.772,96.697,2.979,50.2,123.0,38.4,32.2,173.0,88.8
SU-BU,CRB,96.697,2.979,96.783,2.185,52.6,121.0,41.9,31.8,174.0,88.8
SU-BU,CRB,96.783,2.185,96.743,1.763,54.6,120.0,49.8,22.4,185.0,47.2
SU-BU,CRB,96.743,1.763,96.202,1.345,56.6,120.0,52.3,-21.7,232.0,76.0
IN\BU,SUB,92.278,6.948,91.903,7.663,30.6,113.0,-19.5,-23.6,333.0,89.6
IN\BU,SUB,91.903,7.663,91.781,8.16,28.6,117.0,-21.6,-18.7,346.0,56.9
IN\BU,SUB,91.781,8.16,91.651,8.656,26.9,120.0,-19.0,-19.0,345.0,57.0
IN\BU,SUB,91.651,8.656,91.596,9.13,25.2,124.0,-19.3,-16.3,353.0,53.1
IN\BU,SUB,91.596,9.13,91.533,9.604,23.6,127.0,-16.8,-16.6,353.0,53.1
IN\BU,SUB,91.533,9.604,91.559,10.056,22.1,131.0,-17.5,-13.4,3.0,50.4
IN\BU,SUB,91.559,10.056,91.576,10.514,20.5,134.0,-15.2,-13.7,2.0,51.0
IN\BU,SUB,91.576,10.514,91.591,11.3,18.5,140.0,-12.1,-14.0,1.0,87.4
IN\BU,SUB,91.591,11.3,91.643,11.792,16.6,148.0,-10.3,-13.0,6.0,54.9
IN\BU,SUB,91.643,11.792,91.7,12.283,15.3,154.0,-8.2,-12.9,7.0,55.0
IN\BU,SUB,91.7,12.283,91.889,13.154,13.7,165.0,-6.3,-12.2,12.0,98.9
IN\BU,SUB,91.889,13.154,92.068,13.715,12.4,178.0,-4.0,-11.8,17.0,65.3
IN-BU,OCB,92.068,13.715,92.517,14.384,11.3,193.0,-3.9,-10.6,33.0,88.8
IN-BU,CTF,92.517,14.384,92.941,14.869,10.5,209.0,-2.0,-10.3,40.0,70.6
IN-BU,CTF,92.941,14.869,93.368,15.353,10.3,226.0,0.9,-10.3,40.0,70.6
IN-BU,CTF,93.368,15.353,93.788,15.562,10.4,239.0,-0.6,-10.4,63.0,50.7
IN-BU,CTF,93.788,15.562,94.209,15.77,10.5,251.0,1.4,-10.4,63.0,50.7
IN-BU,CTF,94.209,15.77,95.095,15.813,10.5,267.0,-0.1,-10.5,87.0,95.0
IN-BU,CTF,95.095,15.813,95.911,15.535,10.4,288.0,-0.3,-10.4,109.0,92.7
IN-BU,CTF,95.911,15.535,96.406,15.135,10.4,306.0,-0.7,-10.3,130.0,69.1
MS/SU,SUB,125.969,0.19,125.616,-0.128,13.9,281.0,-11.1,8.3,228.0,52.8
MS/SU,SUB,125.616,-0.128,125.263,-0.446,16.5,288.0,-14.3,8.3,228.0,52.8
MS-SU,OTF,125.263,-0.446,124.857,-0.269,17.9,295.0,-0.4,17.9,293.0,49.2
MS-SU,OTF,124.857,-0.269,124.416,0.013,18.0,305.0,-0.8,17.9,303.0,58.2
MS-SU,CTF,124.416,0.013,124.01,0.437,18.0,317.0,-0.1,18.0,316.0,65.2
MS-SU,CTF,124.01,0.437,123.746,0.843,18.1,328.0,-0.3,18.1,327.0,53.8
MS-SU,CTF,123.746,0.843,123.535,1.354,18.1,339.0,-0.3,18.1,338.0,61.5
MS-SU,OTF,123.535,1.354,123.448,1.812,18.2,349.0,0.0,18.2,349.0,51.9
MS-SU,OTF,123.448,1.812,123.43,2.006,18.2,356.0,-0.4,18.2,355.0,21.6
IN-AU,OCB,87.923,-3.529,88.62,-2.969,6.6,168.0,-5.9,-3.0,51.0,99.3
IN-AU,OCB,88.62,-2.969,88.828,-2.271,6.9,165.0,-3.6,-5.9,17.0,80.9
IN-AU,OCB,88.828,-2.271,89.036,-1.574,7.2,163.0,-4.0,-5.9,17.0,80.9
IN-AU,OCB,89.036,-1.574,89.43,-1.179,7.4,161.0,-6.7,-3.2,45.0,62.1
IN-AU,OCB,89.43,-1.179,89.825,-0.783,7.7,160.0,-7.0,-3.2,45.0,62.1
IN-AU,OCB,89.825,-0.783,90.63,-0.45,8.1,159.0,-8.1,-0.2,68.0,96.9
IN-AU,OCB,90.63,-0.45,91.436,-0.117,8.6,159.0,-8.6,-0.2,68.0,96.9
IN-AU,OCB,91.436,-0.117,92.241,0.216,9.1,159.0,-9.1,-0.2,68.0,96.9
IN-AU,OCB,92.241,0.216,93.046,0.549,9.6,159.0,-9.6,-0.2,68.0,96.9
IN-AU,OCB,93.046,0.549,93.852,0.882,10.1,159.0,-10.1,-0.2,68.0,96.9
IN-AU,OCB,93.852,0.882,94.415,1.493,10.5,158.0,-9.5,-4.5,43.0,92.4
IN-AU,OCB,94.415,1.493,94.979,2.104,10.9,157.0,-9.9,-4.5,43.0,92.4
CL-PS,OCB,134.521,6.99,134.269,6.61,0.9,295.0,-0.9,0.1,213.0,50.6
CL-PS,OCB,134.269,6.61,133.989,6.333,0.4,276.0,-0.3,0.3,225.0,43.7
CL-PS,OSR,133.989,6.333,133.674,6.156,0.4,194.0,0.3,0.3,241.0,40.0
CL-PS,OSR,133.674,6.156,133.429,5.962,0.8,168.0,0.7,0.3,232.0,34.6
CL-PS,OSR,133.429,5.962,133.308,5.734,1.1,156.0,0.9,0.7,208.0,28.7
CL-PS,OSR,133.308,5.734,133.24,5.349,1.4,142.0,1.0,0.9,190.0,43.5
CL-PS,OSR,133.24,5.349,133.189,5.016,1.8,131.0,1.5,1.0,189.0,37.4
CL-PS,OSR,133.189,5.016,133.032,4.788,2.2,128.0,2.2,0.1,214.0,30.8
CL-PS,OSR,133.032,4.788,132.911,4.454,2.6,126.0,2.5,0.7,200.0,39.5
CL-PS,OSR,132.911,4.454,132.79,4.12,3.1,123.0,3.0,0.7,200.0,39.5
CL-PS,OSR,132.79,4.12,132.74,3.698,3.6,120.0,3.3,1.4,187.0,47.2
CL-PS,OSR,132.74,3.698,132.795,3.312,4.0,116.0,3.3,2.3,172.0,43.4
CL-PS,OSR,132.795,3.312,132.85,2.908,4.5,112.0,3.9,2.3,172.0,45.3
CL-PS,OSR,132.85,2.908,132.817,2.539,5.0,110.0,4.8,1.3,185.0,41.3
CL-PS,OSR,132.817,2.539,132.766,2.257,5.4,109.0,5.4,0.8,190.0,31.8
CL-PS,OSR,132.766,2.257,132.734,1.728,6.0,108.0,5.8,1.5,183.0,58.9
CL-PS,OSR,132.734,1.728,132.72,1.165,6.7,106.0,6.5,1.7,181.0,62.7
CL-PS,OSR,132.72,1.165,132.651,0.812,7.3,105.0,7.3,0.5,191.0,40.0
CL-PS,OSR,132.651,0.812,132.515,0.017,8.1,105.0,8.0,0.7,190.0,89.6
PA-CL,OTF,138.359,9.379,139.192,9.065,11.7,283.0,-1.7,-11.5,111.0,97.9
PA-CL,OTF,139.192,9.065,139.886,8.866,11.6,285.0,-0.2,-11.6,106.0,79.4
PA-CL,OTF,139.886,8.866,140.579,8.666,11.6,287.0,0.2,-11.6,106.0,79.3
PA-CL,OTF,140.579,8.666,141.048,8.392,11.6,289.0,-2.3,-11.4,121.0,59.9
PA-CL,OTF,141.048,8.392,141.517,8.118,11.5,290.0,-2.0,-11.4,121.0,60.0
PA-CL,OTF,141.517,8.118,142.262,7.611,11.5,293.0,-2.4,-11.2,125.0,99.6
PA-CL,OTF,142.262,7.611,142.666,7.388,11.4,295.0,-0.9,-11.4,119.0,50.9
PA-CL,OTF,142.666,7.388,143.07,7.166,11.4,296.0,-0.6,-11.4,119.0,51.0
PA-CL,OTF,143.07,7.166,143.558,6.805,11.3,297.0,-1.8,-11.2,127.0,67.1
PA-CL,OTF,143.558,6.805,144.026,6.677,11.3,299.0,2.7,-11.0,105.0,53.6
PA-CL,OSR,144.026,6.677,144.664,6.611,11.4,301.0,4.8,-10.4,96.0,70.8
PA-CL,OTF,144.664,6.611,145.067,6.503,11.6,302.0,3.4,-11.1,105.0,46.1
PA-CL,OTF,145.067,6.503,145.471,6.353,11.6,303.0,2.6,-11.3,110.0,47.7
PA-CL,OTF,145.471,6.353,146.001,6.16,11.7,305.0,2.9,-11.3,110.0,62.4
CL-NB,OCB,142.246,-2.693,142.394,-2.462,8.7,141.0,-8.2,-2.8,33.0,30.5
CL-NB,OCB,142.394,-2.462,142.626,-1.916,9.2,140.0,-8.2,-4.1,23.0,66.0
CL-NB,CCB,142.626,-1.916,142.922,-1.454,9.8,138.0,-9.5,-2.6,33.0,61.0
CL-NB,OCB,142.922,-1.454,143.26,-1.16,10.4,138.0,-10.4,0.2,49.0,49.8
CL-NB,OCB,143.26,-1.16,143.808,-0.951,11.0,138.0,-10.3,3.9,69.0,65.2
CL-NB,OCB,143.808,-0.951,144.357,-0.742,11.7,140.0,-11.0,3.9,69.0,65.3
CL-NB,OCB,144.357,-0.742,145.033,-0.534,12.4,141.0,-11.5,4.6,73.0,78.6
CL-NB,OCB,145.033,-0.534,145.497,-0.473,13.1,142.0,-11.3,6.6,83.0,52.0
CL-NB,OCB,145.497,-0.473,145.919,-0.349,13.6,143.0,-12.7,4.7,74.0,48.9
CL\WL,SUB,138.793,-1.159,139.257,-1.39,66.5,251.0,-47.1,-46.9,116.0,57.6
CL\WL,SUB,139.257,-1.39,139.805,-1.557,67.7,250.0,-40.6,-54.1,107.0,63.7
CL\WL,SUB,139.805,-1.557,140.226,-1.767,68.8,249.0,-50.7,-46.5,117.0,52.3
CL\WL,SUB,140.226,-1.767,140.837,-1.893,69.9,248.0,-38.9,-58.2,102.0,69.3
CL\WL,SUB,140.837,-1.893,141.195,-2.167,71.2,247.0,-61.9,-35.0,127.0,50.1
CL\WL,SUB,141.195,-2.167,141.594,-2.272,72.2,246.0,-45.1,-56.4,105.0,45.9
CL\WL,SUB,141.594,-2.272,141.868,-2.398,73.0,245.0,-55.4,-47.6,115.0,33.5
CL\WL,SUB,141.868,-2.398,142.246,-2.693,74.1,245.0,-66.0,-33.6,128.0,53.3
WL-BH,OSR,138.793,-1.159,138.972,-1.607,61.2,97.0,53.7,29.4,158.0,53.7
NB-SB,CCB,143.743,-3.46,144.368,-3.531,124.8,249.0,-57.2,-110.9,96.0,69.8
NB-SB,CTF,144.368,-3.531,144.807,-3.55,121.2,253.0,-40.4,-114.2,92.0,48.8
NB-SB,CTF,144.807,-3.55,145.399,-3.485,119.3,257.0,-13.9,-118.5,84.0,66.1
NB-SB,OTF,145.399,-3.485,146.11,-3.471,118.0,262.0,-13.5,-117.2,89.0,78.9
NB\WL,SUB,142.246,-2.693,142.449,-2.814,77.4,251.0,-59.3,-49.7,121.0,26.2
NB\WL,SUB,142.449,-2.814,142.633,-2.932,77.7,250.0,-61.6,-47.4,123.0,24.3
NB\WL,SUB,142.633,-2.932,142.936,-3.018,78.1,250.0,-45.5,-63.5,106.0,35.0
NB\WL,SUB,142.936,-3.018,143.172,-3.053,78.4,250.0,-37.5,-68.8,98.0,26.5
NB\WL,SUB,143.172,-3.053,143.508,-3.156,78.7,249.0,-48.0,-62.4,107.0,39.0
NB\WL,SUB,143.508,-3.156,143.743,-3.46,79.3,249.0,-76.0,-22.9,142.0,42.7
SB-WL,CRB,143.743,-3.46,144.079,-3.766,43.8,66.0,40.1,17.5,132.0,50.4
SB-WL,CRB,144.079,-3.766,144.416,-4.004,36.7,72.0,29.6,21.7,125.0,45.8
SB-WL,CRB,144.416,-4.004,144.583,-4.376,29.8,77.0,29.3,5.6,156.0,45.3
SB-WL,CRB,144.583,-4.376,144.733,-4.697,22.8,80.0,22.0,6.0,155.0,39.4
SB-WL,CRB,144.733,-4.697,144.867,-4.968,16.9,86.0,15.7,6.4,154.0,33.6
SB-WL,CRB,144.867,-4.968,145.007,-5.202,12.2,97.0,9.7,7.4,149.0,30.3
SB-WL,CTF,145.007,-5.202,145.505,-5.762,8.7,148.0,-1.4,8.6,138.0,83.2
SB-WL,CCB,145.505,-5.762,146.007,-6.112,17.2,193.0,-16.0,6.4,125.0,67.8
PS-MA,OSR,143.097,11.569,143.082,11.792,56.0,264.0,56.0,-2.6,356.0,24.9
PS-MA,OSR,143.082,11.792,143.106,12.03,55.1,263.0,53.9,-11.6,6.0,26.6
PS-MA,OSR,143.106,12.03,143.143,12.265,54.2,263.0,52.2,-14.5,9.0,26.4
PS-MA,OSR,143.143,12.265,143.239,12.478,53.3,263.0,45.8,-27.4,24.0,25.9
PS-MA,OSR,143.239,12.478,143.403,12.695,52.5,262.0,37.7,-36.7,36.0,29.9
PS-MA,OSR,143.403,12.695,143.51,12.822,51.9,262.0,34.9,-38.4,39.0,18.3
PS-MA,OSR,143.51,12.822,143.662,13.058,51.3,261.0,38.6,-33.8,32.0,30.9
PS-MA,OSR,143.662,13.058,143.771,13.268,50.5,260.0,40.6,-30.1,27.0,26.2
PS-MA,OSR,143.771,13.268,143.871,13.541,49.6,260.0,43.0,-24.8,20.0,32.3
PS-MA,OSR,143.871,13.541,143.903,13.623,49.0,259.0,41.8,-25.6,21.0,9.8
PS-MA,OSR,143.903,13.623,143.942,13.811,48.5,259.0,44.8,-18.6,11.0,21.2
PS-MA,OSR,143.942,13.811,143.976,14.087,47.6,259.0,45.2,-14.9,7.0,30.9
PS-MA,OSR,143.976,14.087,144.082,14.639,46.0,258.0,42.4,-17.8,11.0,62.5
PS-MA,OTF,144.082,14.639,144.216,14.656,45.0,257.0,-4.6,-44.8,83.0,14.5
PS-MA,OSR,144.216,14.656,144.334,14.884,44.6,256.0,34.1,-28.9,27.0,28.4
PS-MA,OTF,144.334,14.884,144.53,14.917,44.3,255.0,-3.9,-44.1,80.0,21.4
PS-MA,OSR,144.53,14.917,144.453,15.526,43.1,255.0,42.6,-6.3,353.0,68.2
PS-MA,OTF,144.453,15.526,144.799,15.653,41.8,253.0,3.2,-41.7,69.0,39.7
PS-MA,OSR,144.799,15.653,144.792,16.123,40.9,252.0,39.1,-12.0,359.0,52.2
PS-MA,OSR,144.792,16.123,144.841,16.478,39.3,251.0,35.2,-17.4,8.0,39.9
PS-MA,OSR,144.841,16.478,144.798,16.979,37.7,250.0,36.4,-9.7,355.0,55.9
PS-MA,OSR,144.798,16.979,144.671,17.42,35.8,250.0,35.6,-3.0,345.0,50.8
PS-MA,OTF,144.671,17.42,144.97,17.535,34.8,249.0,0.4,-34.8,68.0,34.2
PS-MA,OSR,144.97,17.535,144.773,17.83,34.1,248.0,33.6,6.2,328.0,38.9
PS-MA,OSR,144.773,17.83,144.706,18.02,33.0,248.0,33.0,-2.0,341.0,22.3
PS-MA,OSR,144.706,18.02,144.663,18.166,32.3,248.0,32.1,-3.6,344.0,16.8
PS-MA,OSR,144.663,18.166,144.626,18.359,31.6,248.0,30.9,-6.6,350.0,21.9
PS-MA,OSR,144.626,18.359,144.601,18.756,30.5,247.0,28.7,-10.2,357.0,44.2
PS-MA,OSR,144.601,18.756,144.543,19.073,29.1,246.0,28.2,-7.0,350.0,35.8
PS-MA,OSR,144.543,19.073,144.527,19.123,28.3,246.0,28.1,-3.7,343.0,5.9
PS-MA,OSR,144.527,19.123,144.252,19.725,26.9,246.0,26.9,-0.4,337.0,72.9
PS-MA,OSR,144.252,19.725,144.137,19.753,25.4,246.0,15.8,19.9,285.0,12.4
PS-MA,OSR,144.137,19.753,144.083,19.858,25.0,246.0,25.0,1.0,334.0,12.9
PS-MA,OSR,144.083,19.858,143.97,20.111,24.3,246.0,24.3,-0.4,337.0,30.5
MS\SU,SUB,126.426,1.706,126.144,1.001,5.0,264.0,-4.4,2.3,202.0,84.4
MS\BH,SUB,126.144,1.001,126.426,1.706,100.9,116.0,-100.7,-7.0,22.0,84.4
MS\SU,SUB,126.144,1.001,125.969,0.19,10.0,275.0,-9.9,1.2,192.0,92.3
MS\BH,SUB,125.969,0.19,126.144,1.001,94.5,116.0,-91.7,-23.2,12.0,92.3
