Platebound,Stepclass,Lon1,Lat1,Lon2,Lat2,Vel_mm_per_yr,Vel_azimuth_deg,Vel_divergent_mm_per_yr,Vel_rightlateral_mm_per_yr,Step_azimuth_deg,Steplength_km
WL-MO,CCB,140.328,-4.045,140.566,-4.586,24.2,206.0,-18.5,15.6,156.0,65.7
WL-MO,CCB,140.566,-4.586,140.798,-5.11,23.2,204.0,-17.2,15.5,156.0,63.7
WL-AU,CCB,140.798,-5.11,140.847,-5.145,25.7,233.0,-24.6,-7.5,126.0,6.7
WL-AU,CCB,140.847,-5.145,141.483,-5.727,24.1,234.0,-23.7,-4.6,133.0,95.7
WL-AU,CCB,141.483,-5.727,142.231,-5.986,21.5,236.0,-17.1,-13.0,109.0,87.6
WL-AU,CCB,142.231,-5.986,142.956,-6.295,19.2,241.0,-15.1,-11.9,113.0,87.2
WL-AU,CCB,142.956,-6.295,143.569,-6.558,17.2,246.0,-12.6,-11.8,113.0,73.8
WL-AU,CCB,143.569,-6.558,144.136,-6.813,15.6,252.0,-10.5,-11.6,114.0,68.7
WL-AU,CCB,144.136,-6.813,144.74,-7.023,14.3,259.0,-7.2,-12.3,109.0,70.7
WL-AU,CCB,144.74,-7.023,145.249,-7.374,13.0,267.0,-8.0,-10.3,125.0,68.3
WL-AU,CCB,145.249,-7.374,145.666,-7.661,11.9,274.0,-6.0,-10.3,125.0,56.0
PS-CL,OCB,134.521,6.99,135.415,6.895,1.6,138.0,-1.1,1.2,96.0,99.2
PS-CL,OCB,135.415,6.895,136.183,6.989,2.5,156.0,-2.4,0.7,83.0,85.4
PS-CL,OCB,136.183,6.989,136.759,7.368,3.5,157.0,-3.4,-0.6,56.0,76.2
PS-CL,OCB,136.759,7.368,137.144,7.62,4.2,155.0,-4.2,-0.6,57.0,50.9
PS-CL,OCB,137.144,7.62,137.529,7.871,4.9,154.0,-4.8,-0.6,57.0,50.8
PS-CL,OCB,137.529,7.871,137.982,8.534,5.6,151.0,-5.0,-2.6,34.0,88.9
PS-CL,OCB,137.982,8.534,138.309,9.196,6.5,146.0,-5.6,-3.3,26.0,82.0
PS-CL,OCB,138.309,9.196,138.359,9.379,7.1,144.0,-5.5,-4.4,15.0,21.0
PS/PA,SUB,138.359,9.379,138.574,9.953,18.3,117.0,-18.2,-2.1,20.0,68.0
PS/PA,SUB,138.574,9.953,138.71,10.649,19.5,116.0,-18.8,-5.1,11.0,78.9
PS/PA,SUB,138.71,10.649,138.813,11.121,20.6,115.0,-20.1,-4.7,12.0,53.7
PS/PA,SUB,138.813,11.121,139.483,10.901,21.2,117.0,-3.1,20.9,109.0,77.1
PS/PA,SUB,139.483,10.901,140.1,10.946,21.6,120.0,-12.2,17.8,86.0,67.6
PS/PA,SUB,140.1,10.946,140.772,10.858,22.2,123.0,-9.5,20.0,98.0,74.0
PS/PA,SUB,140.772,10.858,141.608,11.058,23.1,126.0,-17.6,14.9,76.0,93.9
PS/PA,SUB,141.608,11.058,142.122,11.285,24.2,128.0,-21.3,11.3,66.0,61.5
PS/PA,SUB,142.122,11.285,142.961,11.403,25.2,130.0,-18.7,16.9,82.0,92.4
PS/PA,SUB,142.961,11.403,143.097,11.569,26.0,131.0,-26.0,-1.0,39.0,23.7
MA/PA,OTF,143.097,11.569,143.503,11.494,76.7,98.0,3.8,76.6,101.0,45.0
MA/PA,SUB,143.503,11.494,144.157,11.79,76.3,97.0,-40.5,64.7,65.0,78.5
MA/PA,SUB,144.157,11.79,144.619,12.021,75.6,97.0,-41.9,63.0,63.0,56.4
MA/PA,SUB,144.619,12.021,145.024,12.211,75.1,96.0,-39.4,63.9,64.0,48.9
MA/PA,SUB,145.024,12.211,145.349,12.314,74.7,96.0,-29.8,68.5,72.0,37.1
MA/PA,SUB,145.349,12.314,145.691,12.647,74.2,95.0,-56.8,47.7,45.0,52.4
MA/PA,SUB,145.691,12.647,146.221,13.002,73.4,95.0,-46.2,57.0,56.0,69.7
EU-SU,CCB,96.48,14.4,97.39,14.419,26.7,237.0,-14.0,-22.7,89.0,98.0
EU-SU,CCB,97.39,14.419,98.3,14.434,26.5,238.0,-13.7,-22.7,89.0,98.0
