Code,Name,Coords_lonlat
IN,India,"56.2652,14.6232 57.0015,14.6601 57.4762,14.6620 57.9836,14.5994 58.2131,14.9160 58.5892,14.6460 59.0337,15.0876 59.4096,14.8951 59.6423,15.2418 59.9086,15.5721 59.9642,16.1423 60.0202,16.7126 60.0619,17.4577 60.2148,18.2397 60.4564,18.7983 60.7122,19.3057 60.9696,19.8127 61.2301,20.2303 61.4919,20.6443 61.8481,21.1258 62.0963,21.4249 62.1325,22.0828 62.5025,22.3850 62.8772,22.6830 63.6313,23.2008 64.2754,23.6936 64.6511,24.0383 65.0282,24.3824 65.4921,24.6201 65.9578,24.8564 66.5296,25.1787 67.1044,25.4987 67.2681,25.9839 67.2526,26.5184 67.2478,27.0854 67.3322,27.9115 67.3421,28.4041 67.2397,28.5731 67.2767,29.3768 67.3011,29.7948 67.8492,30.0735 68.3105,29.8780 68.6795,29.2090 69.0855,29.0959 69.8806,29.2618 70.0995,29.8402 70.1783,30.4230 70.2580,31.0057 70.1010,31.4594 69.9425,31.9130 70.4394,32.4310 70.9421,32.9471 71.3920,33.4768 71.8474,34.0048 72.4591,34.6822 73.0296,34.1759 73.5933,33.6669 74.3142,33.1594 75.0894,32.8806 75.6749,32.1894 75.7220,31.6333 76.5210,31.1537 77.0067,30.7376 77.6407,30.5580 78.0762,30.2261 78.4224,29.8869 78.9118,29.6776 79.1969,29.3934 79.7898,29.1428 80.2265,29.0930 80.5465,28.9750 81.0430,28.7902 81.3610,28.4135 82.2004,28.1669 82.9354,27.8815 83.6667,27.5929 84.1585,27.4519 84.6491,27.3091 85.6219,27.1704 86.2515,27.0946 86.4809,26.7372 86.8204,26.6683 87.2186,27.0220 87.7450,26.9089 88.3200,26.8850 89.2821,27.0268 89.7724,26.8472 90.3294,26.9370 91.2580,27.0075 91.7812,27.0329 92.3047,27.0564 93.2334,27.1165 93.5704,27.1098 94.1890,27.5008 94.8287,27.9182 95.4657,28.1832 96.2345,28.1349 96.7916,28.1099 97.3484,28.0826 97.4711,27.7024 97.3465,27.2411 97.1304,26.8202 96.9056,26.2874 96.5813,25.6469 96.3104,25.1336 96.1173,24.4801 95.9691,23.7605 95.9093,23.0150 95.9181,22.3522 95.9183,21.6810 95.9427,20.9001 96.0158,20.0399 96.2254,19.4119 96.3414,18.7048 96.4207,17.9816 96.4661,17.4351 96.4697,16.6438 96.4472,16.0034 96.4193,15.3962 96.4061,15.1355 95.9115,15.5345 95.0951,15.8126 94.2086,15.7702 93.7878,15.5618 93.3678,15.3526 92.9413,14.8688 92.5168,14.3843 92.0682,13.7149 91.8889,13.1537 91.7000,12.2832 91.6426,11.7915 91.5907,11.3003 91.5764,10.5142 91.5586,10.0560 91.5334,9.6037 91.5959,9.1302 91.6511,8.6562 91.7809,8.1598 91.9032,7.6627 92.2781,6.9476 92.3761,6.3325 92.5375,5.7020 92.6651,5.0051 92.9030,4.3845 93.2270,3.7160 93.7535,3.0477 94.4052,2.4568 94.9794,2.1041 94.4154,1.4930 93.8517,0.8818 93.0462,0.5488 92.2408,0.2158 91.4355,-0.1173 90.6301,-0.4503 89.8247,-0.7833 89.4304,-1.1786 89.0359,-1.5739 88.8280,-2.2714 88.6200,-2.9689 87.9227,-3.5286 87.2245,-4.0878 86.5012,-3.7163 85.7786,-3.3442 84.9865,-3.1810 84.1947,-3.0170 83.7288,-3.2252 83.2627,-3.4331 82.7964,-3.6408 82.3298,-3.8482 81.7010,-4.0308 81.0720,-4.2128 80.3741,-4.3931 79.6759,-4.5728 79.1411,-4.7524 78.6060,-4.9317 77.9808,-4.9935 77.3555,-5.0547 76.7791,-5.0465 76.2028,-5.0383 75.5177,-4.7764 74.8331,-4.5139 74.3580,-4.4108 73.8831,-4.3074 73.7697,-4.9265 73.7043,-5.7781 73.5440,-6.1905 73.3917,-7.0389 72.8839,-7.0384 72.3549,-6.8670 71.8341,-6.6959 71.3125,-6.5993 70.7856,-6.5024 70.2918,-6.4736 69.8059,-6.4446 69.0074,-6.5384 68.2738,-6.8109 68.2738,-6.8109 67.7823,-6.2593 68.2191,-5.8910 68.6069,-5.4719 68.1985,-5.0419 68.7510,-4.5488 68.3485,-4.1176 68.6672,-3.7707 68.2702,-3.3513 67.8921,-2.8880 68.2490,-2.5402 67.7884,-2.0877 67.9291,-1.9130 67.3671,-1.4400 67.6620,-1.0396 67.0231,-0.5779 67.2089,-0.3398 66.8392,-0.0388 67.1594,0.3371 66.6573,0.7220 66.8698,1.0679 66.4925,1.3314 66.6728,1.6209 66.3328,1.8587 65.9923,2.0520 66.1794,2.3925 66.3795,2.7520 65.9626,2.9715 65.4890,3.2991 65.2128,2.9208 64.6822,3.2990 64.6181,3.2170 63.8898,3.6022 63.8192,3.4821 63.3882,3.7001 63.3307,3.6307 62.8678,3.8929 63.0023,4.1081 62.4568,4.5227 61.9997,4.9113 61.5293,5.2616 61.6573,5.4897 61.1417,5.9095 60.6701,6.3098 60.0383,6.7669 60.1789,6.9508 59.6997,7.3122 59.2197,7.6731 59.3092,7.7683 58.8800,8.0972 58.9183,8.1669 58.6106,8.4008 58.2514,8.6469 58.4302,8.8626 58.1476,9.0898 58.2625,9.2926 58.0184,9.4501 58.0630,9.5324 57.4906,9.9416 57.2606,9.6814 57.0289,9.8575 56.9775,9.8572 56.9192,9.9708 57.1375,10.4336 57.3564,10.8963 57.5760,11.3589 57.7963,11.8213 58.0174,12.2835 58.2392,12.7455 57.8675,13.0023 57.6392,13.1377 57.7327,13.3090 57.8096,13.4509 57.6891,13.5225 57.4775,13.6430 57.3015,13.7400 57.2990,13.7718 57.1397,13.8476 56.9688,13.9372 57.0372,14.0681 56.9031,14.1407 56.7616,14.2076 56.8188,14.3021 56.2652,14.6232"
AU,Australia,"180.0000,-15.6207 180.0000,-32.3041 179.9800,-32.3467 179.6570,-33.0187 179.3450,-33.6016 178.9960,-34.2460 178.6810,-34.7863 178.4030,-35.1612 177.8900,-35.9174 177.5070,-36.4610 177.0490,-37.1022 176.7700,-37.4850 176.5090,-37.8849 176.2410,-38.2869 175.9950,-38.6742 175.9320,-38.7623 175.6090,-39.2297 176.0740,-40.0461 175.8680,-40.3108 175.5370,-40.5983 175.3240,-40.7906 175.0120,-40.9786 174.6320,-41.1571 174.7630,-41.5656 174.9450,-41.7569 175.5030,-42.0593 174.9880,-42.1219 174.3040,-42.2013 173.7240,-42.2908 173.1260,-42.3917 172.5930,-42.4830 171.8590,-42.6156 171.4730,-42.6755 171.2770,-42.7430 170.9950,-42.9318 170.6380,-43.0879 170.1030,-43.3578 169.6470,-43.5943 169.1360,-43.8453 168.7700,-44.0215 168.4880,-44.1660 168.0810,-44.3297 167.6880,-44.4660 167.3680,-44.6478 167.1000,-44.8262 166.9510,-44.9871 166.7100,-45.2113 166.5370,-45.3502 166.3770,-45.5150 166.2050,-45.7364 166.0190,-45.8872 165.9200,-45.9581 165.7330,-46.0648 165.4270,-46.1898 165.1680,-46.4052 165.0210,-46.6013 164.9430,-46.7830 164.9230,-47.0108 164.8380,-47.1485 164.7390,-47.2562 164.6990,-47.4439 164.6510,-47.5208 164.5280,-47.6576 164.4800,-47.7595 164.4830,-47.9197 164.3980,-48.0593 164.3890,-48.2020 164.3090,-48.2738 164.2870,-48.4286 164.2150,-48.5916 164.1300,-48.7417 163.9640,-48.9171 163.8680,-49.1157 163.7400,-49.3222 163.5450,-49.5732 163.4480,-49.7612 163.4120,-49.8466 163.2960,-49.9853 163.2350,-50.0787 163.0470,-50.2732 162.9630,-50.3688 162.7850,-50.4433 162.5940,-50.5495 162.4530,-50.6679 162.2730,-50.8174 162.0490,-50.9621 161.8250,-51.1182 161.7160,-51.1921 161.5420,-51.3988 161.3680,-51.5421 161.1620,-51.7508 161.0260,-51.9244 160.7620,-52.1656 160.6710,-52.2918 160.5350,-52.4327 160.3420,-52.6336 160.0920,-52.8217 159.9050,-52.9907 159.7310,-53.1704 159.5120,-53.3452 159.3180,-53.5980 159.2160,-53.6195 159.1420,-53.8122 158.9850,-54.0883 158.8850,-54.3080 158.7400,-54.5589 158.6740,-54.6894 158.6180,-54.9279 158.5960,-55.0467 158.5400,-55.2724 158.4650,-55.5216 158.3320,-55.7793 158.2260,-56.0216 158.1530,-56.1647 158.0420,-56.3105 157.9440,-56.4385 157.8230,-56.7248 157.7030,-56.9918 157.6400,-57.2302 157.6150,-57.4740 157.6200,-57.7835 157.7510,-58.0681 157.9200,-58.3342 158.1210,-58.6051 158.2670,-58.7792 158.3850,-58.8581 158.6500,-59.0705 158.9720,-59.3046 159.1860,-59.5107 159.4130,-59.7316 159.6910,-59.9387 159.8030,-60.0055 160.3270,-60.5039 160.7400,-61.0526 161.1290,-61.3842 161.2280,-61.4567 160.8650,-61.5586 159.4400,-62.0259 157.9700,-62.4781 156.4570,-62.9143 155.7010,-62.1738 154.9810,-61.4294 154.2940,-60.6813 153.6390,-59.9299 152.4730,-60.1764 151.2900,-60.4126 151.0080,-59.9442 150.7330,-59.4753 150.0060,-59.5704 149.6520,-58.9988 149.3980,-58.5518 149.1500,-58.1044 148.8060,-57.4358 148.0760,-57.5271 147.9020,-57.5662 147.7210,-57.0884 147.5450,-56.6104 147.3730,-56.1321 147.2060,-55.6536 147.0430,-55.1749 146.8810,-54.6953 145.4010,-54.7555 144.2820,-54.7985 143.7780,-54.2343 142.2500,-54.2149 141.4510,-54.0528 140.6590,-53.8854 140.5840,-53.5044 140.4780,-52.7502 140.4000,-52.2743 140.3230,-51.7983 139.8130,-51.8376 139.7330,-51.1739 139.6450,-50.2794 139.1100,-50.2558 138.4010,-50.2311 137.7000,-50.2336 136.9460,-50.2204 136.2260,-50.2476 135.2460,-50.2093 135.0260,-50.3842 134.2450,-50.3475 133.4650,-50.3055 132.2610,-50.2228 131.5150,-50.2222 131.2560,-50.6037 130.5690,-50.5249 129.4120,-50.3480 128.3120,-50.1592 127.1430,-49.9761 127.1960,-49.6429 127.2430,-49.2939 127.3130,-48.7639 126.8610,-48.6977 126.4340,-48.6297 126.2640,-49.0443 126.0740,-49.4014 125.8960,-49.7171 125.2620,-49.5983 125.1250,-49.3581 124.9920,-49.1528 124.6070,-48.9835 124.2130,-48.8476 124.0070,-48.9058 123.7710,-49.1216 123.3280,-49.5847 123.0130,-49.5424 122.7970,-49.7286 122.5530,-49.8116 122.2240,-49.8462 121.8660,-49.7355 121.4370,-49.6202 121.5550,-49.0056 120.8420,-48.8896 120.5160,-49.5243 120.2730,-50.0360 119.3660,-49.9384 118.5470,-49.8017 118.1940,-49.8648 117.5230,-49.6199 116.6350,-49.2709 116.2560,-49.5404 115.9880,-49.8517 115.5000,-49.9743 114.3620,-49.8778 114.0240,-50.3877 112.9670,-50.2004 111.6660,-50.0838 111.3630,-49.9297 111.1290,-49.8004 110.8680,-49.8289 110.4720,-49.7790 109.3510,-49.5235 108.2400,-49.2587 108.2850,-49.1823 107.4860,-49.0146 106.6920,-48.8414 106.5540,-49.1009 105.8980,-48.9335 105.2470,-48.7624 104.6010,-48.5877 103.9590,-48.4093 103.3210,-48.2275 102.6880,-48.0421 102.0600,-47.8533 101.4360,-47.6610 100.8170,-47.4654 100.2020,-47.2665 99.6243,-47.9781 98.9794,-47.7439 98.3404,-47.5061 97.7072,-47.2648 97.0797,-47.0200 96.4580,-46.7718 95.8420,-46.5203 96.2738,-45.9963 96.6975,-45.4707 95.8064,-45.1414 94.9257,-44.8053 95.0405,-44.6195 94.4702,-44.3897 93.9044,-44.1571 93.3431,-43.9217 92.7862,-43.6836 92.2337,-43.4428 91.6857,-43.1994 91.1420,-42.9534 90.6027,-42.7049 90.0677,-42.4538 89.5370,-42.2002 89.0106,-41.9442 88.4884,-41.6859 88.0599,-41.9974 87.5023,-41.7105 86.9497,-41.4210 86.4020,-41.1288 85.8592,-40.8341 85.4665,-41.1802 85.0697,-41.5249 84.6686,-41.8682 84.2631,-42.2101 83.8533,-42.5506 83.4390,-42.8896 82.5877,-42.3091 81.7520,-41.7225 80.9315,-41.1299 80.4635,-41.5119 79.9900,-41.8919 79.3191,-41.3840 78.6586,-40.8722 78.4837,-40.8664 77.8245,-40.3260 78.4254,-39.9049 78.0024,-39.5385 78.3839,-39.2620 78.0731,-39.0049 78.5293,-38.6592 78.1815,-38.3932 78.7061,-38.0006 78.0213,-37.4829 78.6063,-36.9983 79.1839,-36.5109 78.6899,-36.0980 78.2011,-35.6831 78.8035,-35.1612 78.4423,-34.8423 78.4879,-34.8067 77.9166,-34.3238 77.3518,-33.8383 78.0858,-33.1942 77.6578,-32.8276 77.2334,-32.4595 76.8124,-32.0900 76.3948,-31.7191 76.6894,-31.4649 76.1481,-30.9704 76.2045,-30.9057 75.7972,-30.5735 75.3926,-30.2401 75.5149,-30.1176 75.3641,-30.0058 75.5539,-29.8394 74.9376,-29.3284 74.9940,-29.2645 74.5917,-28.9035 74.1922,-28.5413 74.4058,-28.3173 73.9685,-27.9442 73.5342,-27.5698 73.3995,-27.6550 73.1227,-27.4458 72.9202,-27.5728 72.4626,-27.1462 72.0084,-26.7182 72.0656,-26.6560 71.7166,-26.3857 71.5800,-26.4544 71.1354,-26.0831 70.9943,-26.1873 70.6654,-25.9124 70.4086,-26.0604 69.9595,-25.6512 70.0896,-25.4825 69.5921,-24.9701 69.9393,-24.6785 69.6804,-24.3686 69.4016,-24.0396 69.8497,-23.7087 69.5577,-23.3731 69.1621,-22.8305 68.7967,-22.3870 69.2017,-22.0877 68.6529,-21.4495 68.2768,-20.8777 68.5592,-20.7119 68.2125,-20.2907 67.8967,-20.4690 67.7679,-20.2800 67.5930,-20.3689 67.3095,-20.0725 67.0404,-20.2181 66.7513,-19.8703 66.4280,-20.0783 66.0333,-19.5775 65.5217,-18.8281 65.2639,-18.4432 65.0073,-18.0579 65.5424,-17.7830 66.1428,-17.4501 66.7081,-17.0901 67.4105,-16.6587 67.0330,-16.1389 67.3827,-15.9419 67.2902,-15.8215 66.8882,-15.2696 66.4883,-14.6980 66.2076,-14.3387 65.9278,-13.9791 66.2097,-13.7773 65.8205,-13.2681 66.3692,-12.8327 66.0330,-12.4258 65.6978,-12.0185 66.4182,-11.5590 66.1674,-11.2100 66.7874,-10.7620 66.4600,-10.3502 66.9195,-9.9904 67.3780,-9.6300 67.0896,-9.2703 67.5648,-8.8814 68.0390,-8.4919 67.6424,-8.0271 68.0731,-7.6477 67.8113,-7.2525 68.2738,-6.8109 68.2738,-6.8109 69.0074,-6.5384 69.8059,-6.4446 70.2918,-6.4736 70.7856,-6.5024 71.3125,-6.5993 71.8341,-6.6959 72.3549,-6.8670 72.8839,-7.0384 73.3917,-7.0389 73.5440,-6.1905 73.7043,-5.7781 73.7697,-4.9265 73.8831,-4.3074 74.3580,-4.4108 74.8331,-4.5139 75.5177,-4.7764 76.2028,-5.0383 76.7791,-5.0465 77.3555,-5.0547 77.9808,-4.9935 78.6060,-4.9317 79.1411,-4.7524 79.6759,-4.5728 80.3741,-4.3931 81.0720,-4.2128 81.7010,-4.0308 82.3298,-3.8482 82.7964,-3.6408 83.2627,-3.4331 83.7288,-3.2252 84.1947,-3.0170 84.9865,-3.1810 85.7786,-3.3442 86.5012,-3.7163 87.2245,-4.0878 87.9227,-3.5286 88.6200,-2.9689 88.8280,-2.2714 89.0359,-1.5739 89.4304,-1.1786 89.8247,-0.7833 90.6301,-0.4503 91.4355,-0.1173 92.2408,0.2158 93.0462,0.5488 93.8517,0.8818 94.4154,1.4930 94.9794,2.1041 95.5419,1.8818 96.0886,1.4873 96.2019,1.3450 96.3795,1.1230 96.6703,0.7587 97.0106,0.1159 97.3722,-0.5472 97.7695,-1.2471 98.0354,-1.6342 98.3013,-2.0213 98.8744,-2.6650 99.3699,-3.3115 99.6748,-3.7285 99.9800,-4.1454 100.3590,-4.6559 100.7910,-5.3049 101.3460,-5.9830 101.8580,-6.5584 102.4520,-7.1972 103.1830,-7.6215 103.7630,-7.8628 104.5760,-8.1666 104.9810,-8.5688 105.5900,-8.9263 106.1230,-9.2396 106.3450,-9.3711 106.8270,-9.6652 107.3790,-9.8903 107.8360,-10.0528 108.3630,-10.1777 109.0670,-10.3276 109.6260,-10.3713 110.1590,-10.4399 110.6150,-10.4773 111.0150,-10.4773 111.5230,-10.5772 112.1700,-10.6520 112.5630,-10.7580 113.2040,-10.8702 113.7560,-10.9636 114.4100,-11.0882 115.0130,-11.1505 115.5710,-11.2189 116.1740,-11.2750 116.8530,-11.3310 117.5760,-11.3372 118.2360,-11.3869 118.7500,-11.3621 119.2700,-11.3932 119.8410,-11.4616 120.4510,-11.5238 120.8860,-11.4925 121.1100,-11.4927 121.7830,-11.4118 122.6270,-11.1878 123.2170,-10.9948 123.9600,-10.7081 124.7340,-10.3900 125.1590,-10.1590 125.4820,-9.9840 125.8690,-9.7840 126.3330,-9.5964 126.8530,-9.3898 127.4300,-9.2208 127.9000,-9.1331 128.3760,-9.0955 129.1060,-9.0203 129.8610,-8.9262 130.5400,-8.7256 130.9330,-8.5625 131.4150,-8.2675 131.8670,-7.6612 132.4310,-6.9894 132.6890,-6.6810 133.1880,-6.5146 133.6860,-6.3477 133.9820,-5.6406 133.4490,-5.3443 133.9060,-4.8120 134.4880,-4.4373 134.9660,-4.2980 135.4590,-4.2182 136.1670,-4.1771 136.6720,-4.1993 137.1770,-4.2212 138.0100,-4.3368 138.4840,-4.4425 138.9590,-4.5478 139.7310,-4.7513 140.2640,-4.9306 140.7980,-5.1096 140.8470,-5.1450 141.4830,-5.7274 142.2310,-5.9864 142.9560,-6.2947 143.5690,-6.5582 144.1360,-6.8131 144.7400,-7.0234 145.2490,-7.3736 145.6660,-7.6609 146.3980,-8.1025 146.9180,-8.4104 146.9540,-8.5983 147.5390,-8.8865 148.2070,-9.2118 148.7510,-9.5697 149.1330,-9.3526 149.6760,-9.8009 150.2450,-9.9453 150.4660,-9.6869 151.0050,-9.6814 151.5450,-9.6759 151.6540,-9.7600 151.8340,-9.7611 151.8380,-9.9056 151.9180,-9.9303 152.0240,-9.9420 152.0860,-9.9440 152.2140,-9.9453 152.2230,-10.0390 152.4130,-10.0473 152.5470,-10.0560 152.6510,-10.0777 152.8490,-10.0881 152.8550,-10.3844 153.1740,-10.3981 153.3620,-10.3981 153.5520,-10.3550 153.7520,-10.3446 153.8470,-10.3254 154.0100,-10.3407 154.1250,-10.3313 154.1690,-10.3230 154.2190,-10.2792 154.2180,-9.9126 154.3790,-9.8722 154.5960,-9.8106 154.7190,-9.7630 154.8490,-9.7230 154.8560,-9.8390 154.9510,-9.8348 155.0700,-9.7949 155.1720,-9.7299 155.1720,-9.6214 155.2910,-9.5562 155.3470,-9.5324 155.4360,-9.4930 155.4730,-9.5679 155.5770,-9.5307 155.5990,-9.5807 155.7080,-9.5484 155.7970,-9.5265 155.8130,-9.5715 155.9080,-9.5546 155.9790,-9.5481 155.9890,-9.5580 156.0860,-9.5384 156.0660,-9.4052 156.1240,-9.3814 156.1010,-9.2685 156.2580,-9.2250 156.3500,-9.2055 156.4280,-9.1788 156.3900,-8.8094 156.3610,-8.5984 156.3310,-8.3849 156.2960,-8.1740 156.4670,-8.3819 156.7060,-8.5629 156.7820,-8.6018 156.8580,-8.6154 156.9350,-8.6416 157.0490,-8.7062 157.1770,-8.7456 157.2410,-8.7843 157.3170,-8.8231 157.4190,-8.9002 157.5720,-8.9651 157.6480,-9.0039 157.7240,-9.0680 157.8270,-9.1071 157.9160,-9.1586 157.9920,-9.2100 158.0560,-9.2487 158.1450,-9.3128 158.2730,-9.3901 158.3880,-9.4418 158.4780,-9.4806 158.5800,-9.5068 158.7090,-9.5459 158.7730,-9.5590 158.8500,-9.5850 158.9260,-9.6236 159.0030,-9.6495 159.0680,-9.6880 159.1190,-9.7264 159.1700,-9.7648 159.2210,-9.8285 159.2850,-9.8797 159.3620,-9.9309 159.4390,-9.9695 159.5030,-10.0206 159.5800,-10.0844 159.6440,-10.1229 159.7080,-10.1739 159.7720,-10.1997 159.8370,-10.2507 159.9140,-10.2765 159.9780,-10.3149 160.0680,-10.3787 160.1320,-10.4170 160.2100,-10.4681 160.2870,-10.5192 160.3640,-10.5702 160.4930,-10.6341 160.5440,-10.6723 160.6220,-10.7233 160.7250,-10.7870 160.7760,-10.8379 160.8670,-10.9142 160.9310,-10.9651 160.9960,-11.0287 161.0600,-11.0541 161.1250,-11.1304 161.2020,-11.1685 161.3060,-11.1940 161.3840,-11.2321 161.4610,-11.2448 161.5520,-11.2829 161.7200,-11.3209 161.7980,-11.3589 161.9010,-11.3968 162.0180,-11.4220 162.1090,-11.4345 162.2250,-11.4216 162.3540,-11.4212 162.4840,-11.4208 162.6260,-11.3823 162.8330,-11.3560 163.0530,-11.3106 163.1950,-11.2908 163.3110,-11.2647 163.5050,-11.2381 163.6990,-11.1987 163.8540,-11.1848 163.9960,-11.1583 164.1510,-11.1443 164.2670,-11.1179 164.4090,-11.0913 164.5120,-11.0903 164.6410,-11.1143 164.7580,-11.1637 164.9010,-11.2002 165.0700,-11.2869 165.2520,-11.4113 165.3960,-11.5487 165.5140,-11.6864 165.6210,-11.8875 165.7150,-12.1266 165.7700,-12.3157 165.8380,-12.5171 165.8940,-12.7440 165.9090,-12.8703 165.9520,-13.0721 166.0200,-13.2608 166.0900,-13.5126 166.1320,-13.6763 166.1540,-13.7794 166.1610,-13.8276 166.2040,-13.9913 166.2340,-14.1805 166.2500,-14.3447 166.2520,-14.4205 166.2680,-14.5594 166.2710,-14.6859 166.2620,-14.8885 166.2130,-15.0413 166.2280,-15.1296 166.2170,-15.2437 166.1930,-15.3454 166.2090,-15.4337 166.2250,-15.5599 166.2270,-15.6737 166.2700,-15.7993 166.2850,-15.8875 166.3400,-15.9749 166.3950,-16.0875 166.4500,-16.1874 166.5060,-16.3000 166.5620,-16.4378 166.6040,-16.5380 166.6590,-16.6251 166.7280,-16.7372 166.8100,-16.8363 166.8680,-16.9866 166.9500,-17.0982 167.0590,-17.2090 167.1550,-17.3074 167.1710,-17.3955 167.2150,-17.5206 167.2450,-17.6335 167.2750,-17.7590 167.3200,-17.9219 167.3500,-18.0221 167.3940,-18.1472 167.4240,-18.2473 167.4550,-18.3601 167.4860,-18.4855 167.5040,-18.6113 167.5210,-18.7118 167.6070,-18.8859 167.6800,-19.0477 167.7270,-19.2356 167.8120,-19.3716 167.8860,-19.5332 167.9430,-19.6322 168.0030,-19.7690 168.0750,-19.8926 168.1600,-20.0031 168.1910,-20.0903 168.2630,-20.2012 168.3350,-20.3246 168.3960,-20.4737 168.5120,-20.6457 168.5850,-20.7815 168.6450,-20.8926 168.7050,-21.0162 168.7760,-21.1015 168.8790,-21.2610 168.9960,-21.4198 169.0540,-21.5055 169.1430,-21.6401 169.2150,-21.7250 169.2880,-21.8225 169.3200,-21.9092 169.4190,-21.9801 169.4910,-22.0522 169.5770,-22.1236 169.7190,-22.2298 169.8350,-22.3499 169.9500,-22.4447 170.0360,-22.5157 170.1090,-22.5873 170.2210,-22.6442 170.3210,-22.7017 170.4200,-22.7591 170.5470,-22.8274 170.6600,-22.8838 170.7450,-22.9166 170.8420,-22.9486 170.9390,-22.9680 171.0370,-22.9998 171.1620,-23.0299 171.2880,-23.0724 171.3850,-23.0915 171.4960,-23.1096 171.6200,-23.1268 171.7030,-23.1464 171.8540,-23.1491 171.9500,-23.1553 172.0600,-23.1730 172.1970,-23.1763 172.2780,-23.1707 172.3610,-23.1775 172.4390,-23.1781 172.7830,-23.0686 173.0400,-23.0068 173.2120,-22.8339 173.6060,-22.8350 174.0340,-22.4881 174.5840,-22.1704 175.2310,-21.7500 175.7330,-21.4216 176.1210,-21.1655 175.8280,-20.6294 175.5900,-20.1887 175.5740,-19.9765 175.5590,-19.7548 175.7720,-19.5471 175.8390,-19.4451 175.8850,-19.3274 175.9000,-19.1624 175.9220,-19.0798 175.9750,-19.0222 176.0610,-18.8945 176.1360,-18.7320 176.2120,-18.6107 176.2150,-18.3189 176.2440,-18.2425 176.3000,-18.1403 176.3420,-18.0384 176.3360,-17.8227 175.9730,-17.8043 175.9860,-17.5408 176.0360,-17.2389 176.0650,-17.0895 176.1060,-16.9654 176.1480,-16.8158 176.1790,-16.6696 176.1840,-16.5521 176.3770,-16.5690 176.5450,-16.5574 176.6710,-16.5527 176.7900,-16.5447 176.8830,-16.5435 176.9490,-16.5235 177.0350,-16.5159 177.1300,-16.5049 177.1900,-16.5040 177.2690,-16.5059 177.4120,-16.5099 177.4140,-16.3005 177.3450,-16.3016 177.4000,-16.2119 177.5880,-16.2245 177.7210,-16.2285 177.8060,-16.2269 177.8760,-16.2224 178.0070,-16.1723 178.0860,-16.1485 178.1710,-16.1151 178.2830,-16.1096 178.4020,-16.1039 178.4910,-16.0924 178.5240,-15.9838 178.5620,-15.8973 178.9360,-15.8124 179.3320,-15.7295 179.6140,-15.6775 179.8900,-15.6538 180.0000,-15.6207"
